q,n,sim_mean,actual_mean,delta,span_sim,span_actual,slope_ratio,steps_agreeing
1,1064,65.92622180451127,63.96898496240601,1.9572368421052602,7.582236842105274,8.290883458646618,0.9145270078784798,4
2,1064,68.15413533834587,66.56860902255639,1.5855263157894797,7.582236842105274,8.290883458646618,0.9145270078784798,4
3,1063,69.59783631232361,68.06585136406397,1.531984948259634,7.582236842105274,8.290883458646618,0.9145270078784798,4
4,1064,70.92387218045113,69.80263157894737,1.1212406015037573,7.582236842105274,8.290883458646618,0.9145270078784798,4
5,1064,73.50845864661655,72.25986842105263,1.248590225563916,7.582236842105274,8.290883458646618,0.9145270078784798,4
