arm,feature_set,terminal_event,n,actual_mean,actual_sd,model_mean,model_sd,mean_gap
lognormal,D_plus_season,TOV,125325,16.0,9.681,18.305,14.0,2.304
lognormal,D_plus_season,unknown,6005,6.482,10.716,20.304,14.62,13.822
gamma,A_state,FGA_3,194212,18.912,9.241,17.625,11.027,-1.287
gamma,A_state,FGA_jump2,128524,20.917,9.098,17.807,11.022,-3.109
gamma,A_state,FGA_rim,183713,16.971,9.671,17.288,11.007,0.317
gamma,A_state,FT_trip_bonus,40909,12.091,9.783,16.516,11.693,4.425
gamma,A_state,FT_trip_shooting,50819,15.373,9.928,17.555,11.06,2.182
gamma,A_state,TOV,125325,16.0,9.681,17.631,11.039,1.631
gamma,A_state,unknown,6005,6.482,10.716,19.721,11.386,13.238
gamma,B_plus_teams,FGA_3,194212,18.912,9.241,17.663,11.038,-1.249
gamma,B_plus_teams,FGA_jump2,128524,20.917,9.098,17.919,11.064,-2.997
gamma,B_plus_teams,FGA_rim,183713,16.971,9.671,17.277,11.007,0.306
gamma,B_plus_teams,FT_trip_bonus,40909,12.091,9.783,16.485,11.704,4.394
gamma,B_plus_teams,FT_trip_shooting,50819,15.373,9.928,17.584,11.079,2.211
gamma,B_plus_teams,TOV,125325,16.0,9.681,17.692,11.072,1.692
gamma,B_plus_teams,unknown,6005,6.482,10.716,19.724,11.398,13.241
gamma,C_plus_score,FGA_3,194212,18.912,9.241,17.674,11.014,-1.238
gamma,C_plus_score,FGA_jump2,128524,20.917,9.098,17.933,11.048,-2.983
gamma,C_plus_score,FGA_rim,183713,16.971,9.671,17.279,10.992,0.308
gamma,C_plus_score,FT_trip_bonus,40909,12.091,9.783,16.006,11.783,3.915
gamma,C_plus_score,FT_trip_shooting,50819,15.373,9.928,17.586,11.03,2.213
gamma,C_plus_score,TOV,125325,16.0,9.681,17.746,11.116,1.746
gamma,C_plus_score,unknown,6005,6.482,10.716,19.709,11.489,13.227
gamma,D_plus_season,FGA_3,194212,18.912,9.241,17.517,10.9,-1.395
gamma,D_plus_season,FGA_jump2,128524,20.917,9.098,17.772,10.934,-3.144
gamma,D_plus_season,FGA_rim,183713,16.971,9.671,17.125,10.877,0.154
gamma,D_plus_season,FT_trip_bonus,40909,12.091,9.783,15.864,11.664,3.773
gamma,D_plus_season,FT_trip_shooting,50819,15.373,9.928,17.429,10.916,2.056
gamma,D_plus_season,TOV,125325,16.0,9.681,17.588,11.002,1.587
gamma,D_plus_season,unknown,6005,6.482,10.716,19.535,11.373,13.052
hazard,A_state,FGA_3,194212,18.912,9.241,17.342,10.78,-1.57
hazard,A_state,FGA_jump2,128524,20.917,9.098,17.533,10.88,-3.384
hazard,A_state,FGA_rim,183713,16.971,9.671,17.1,10.608,0.129
hazard,A_state,FT_trip_bonus,40909,12.091,9.783,16.138,10.261,4.047
hazard,A_state,FT_trip_shooting,50819,15.373,9.928,17.294,10.789,1.921
hazard,A_state,TOV,125325,16.0,9.681,17.365,10.801,1.365
hazard,A_state,unknown,6005,6.482,10.716,18.866,11.667,12.383
hazard,B_plus_teams,FGA_3,194212,18.912,9.241,17.366,10.809,-1.546
hazard,B_plus_teams,FGA_jump2,128524,20.917,9.098,17.626,10.953,-3.29
hazard,B_plus_teams,FGA_rim,183713,16.971,9.671,17.084,10.614,0.113
hazard,B_plus_teams,FT_trip_bonus,40909,12.091,9.783,16.118,10.258,4.027
hazard,B_plus_teams,FT_trip_shooting,50819,15.373,9.928,17.316,10.815,1.943
hazard,B_plus_teams,TOV,125325,16.0,9.681,17.412,10.85,1.412
hazard,B_plus_teams,unknown,6005,6.482,10.716,18.869,11.668,12.387
hazard,C_plus_score,FGA_3,194212,18.912,9.241,17.379,10.835,-1.533
hazard,C_plus_score,FGA_jump2,128524,20.917,9.098,17.645,10.975,-3.271
hazard,C_plus_score,FGA_rim,183713,16.971,9.671,17.09,10.632,0.119
hazard,C_plus_score,FT_trip_bonus,40909,12.091,9.783,15.761,10.011,3.67
hazard,C_plus_score,FT_trip_shooting,50819,15.373,9.928,17.312,10.811,1.939
hazard,C_plus_score,TOV,125325,16.0,9.681,17.482,10.907,1.482
hazard,C_plus_score,unknown,6005,6.482,10.716,18.901,11.724,12.418
hazard,D_plus_season,FGA_3,194212,18.912,9.241,17.204,10.724,-1.708
hazard,D_plus_season,FGA_jump2,128524,20.917,9.098,17.467,10.86,-3.45
hazard,D_plus_season,FGA_rim,183713,16.971,9.671,16.919,10.524,-0.052
hazard,D_plus_season,FT_trip_bonus,40909,12.091,9.783,15.604,9.915,3.512
hazard,D_plus_season,FT_trip_shooting,50819,15.373,9.928,17.137,10.7,1.764
hazard,D_plus_season,TOV,125325,16.0,9.681,17.306,10.793,1.305
hazard,D_plus_season,unknown,6005,6.482,10.716,18.712,11.597,12.23
lgbm_quantile,A_state,FGA_3,194212,18.912,9.241,17.435,8.743,-1.477
lgbm_quantile,A_state,FGA_jump2,128524,20.917,9.098,17.762,8.678,-3.155
lgbm_quantile,A_state,FGA_rim,183713,16.971,9.671,17.175,8.731,0.204
lgbm_quantile,A_state,FT_trip_bonus,40909,12.091,9.783,15.456,9.35,3.364
lgbm_quantile,A_state,FT_trip_shooting,50819,15.373,9.928,17.403,8.774,2.03
lgbm_quantile,A_state,TOV,125325,16.0,9.681,17.506,8.742,1.505
lgbm_quantile,A_state,unknown,6005,6.482,10.716,19.018,8.924,12.535
lgbm_quantile,B_plus_teams,FGA_3,194212,18.912,9.241,17.45,8.688,-1.462
lgbm_quantile,B_plus_teams,FGA_jump2,128524,20.917,9.098,17.86,8.643,-3.057
lgbm_quantile,B_plus_teams,FGA_rim,183713,16.971,9.671,17.143,8.676,0.173
lgbm_quantile,B_plus_teams,FT_trip_bonus,40909,12.091,9.783,15.408,9.282,3.317
lgbm_quantile,B_plus_teams,FT_trip_shooting,50819,15.373,9.928,17.405,8.728,2.032
lgbm_quantile,B_plus_teams,TOV,125325,16.0,9.681,17.553,8.711,1.552
lgbm_quantile,B_plus_teams,unknown,6005,6.482,10.716,18.986,8.85,12.504
lgbm_quantile,C_plus_score,FGA_3,194212,18.912,9.241,17.466,8.644,-1.446
lgbm_quantile,C_plus_score,FGA_jump2,128524,20.917,9.098,17.919,8.621,-2.998
lgbm_quantile,C_plus_score,FGA_rim,183713,16.971,9.671,17.165,8.651,0.194
lgbm_quantile,C_plus_score,FT_trip_bonus,40909,12.091,9.783,14.73,9.362,2.639
lgbm_quantile,C_plus_score,FT_trip_shooting,50819,15.373,9.928,17.391,8.724,2.018
lgbm_quantile,C_plus_score,TOV,125325,16.0,9.681,17.628,8.731,1.627
lgbm_quantile,C_plus_score,unknown,6005,6.482,10.716,18.986,8.834,12.504
lgbm_quantile,D_plus_season,FGA_3,194212,18.912,9.241,17.395,8.631,-1.518
lgbm_quantile,D_plus_season,FGA_jump2,128524,20.917,9.098,17.846,8.608,-3.071
lgbm_quantile,D_plus_season,FGA_rim,183713,16.971,9.671,17.093,8.639,0.122
lgbm_quantile,D_plus_season,FT_trip_bonus,40909,12.091,9.783,14.685,9.338,2.593
lgbm_quantile,D_plus_season,FT_trip_shooting,50819,15.373,9.928,17.319,8.709,1.946
lgbm_quantile,D_plus_season,TOV,125325,16.0,9.681,17.56,8.718,1.56
lgbm_quantile,D_plus_season,unknown,6005,6.482,10.716,18.949,8.812,12.467
