segment,level,n,n_censored,crps_trunc,censored_loglik
half,H1,358430,1045,4.89196370708741,-3.565803415436053
half,H2,366371,580,4.984366841384231,-3.57515252560288
half,OT,6403,72,4.744095435462335,-3.429070031245912
score_bucket,-15..-6,148128,377,4.708200601280531,-3.5289857233095696
score_bucket,-5..5,346077,846,4.952334869750991,-3.571709261220583
score_bucket,6..15,130535,253,5.1893239096861885,-3.610407603699965
score_bucket,<=-16,57265,116,4.61774076029729,-3.518267032086291
score_bucket,>=16,49199,105,5.219990592849548,-3.6239215879028563
season,2025,731204,1697,4.9370134199344555,-3.5692904573312845
