cell,n,ks_D,ks_p,powered,leak_sized
other | 45-59,80,0.2500543384717444,6.800070455042503e-05,False,False
other | 60-89,90,0.2390315043973289,5.212618440673011e-05,False,False
other | 300+,2195,0.22899848719103522,1.16121670489922e-101,True,True
other | 150-299,461,0.22607200735902588,3.474069237336752e-21,True,True
other | 30-44,135,0.20116147389052147,2.8937180791028382e-05,False,False
other | 20-29,79,0.19333149476064382,0.004627524003045225,False,False
other | 90-149,187,0.18716205616663517,3.2984304747836074e-06,False,False
other | 5-9,64,0.17272324588101562,0.03862754828806381,False,False
made_FT | 10-19,1430,0.1686190412443428,5.192939752074237e-36,True,True
DREB | 20-29,1864,0.1555235211965348,7.696039830386943e-40,True,True
made_FT | 5-9,461,0.14855579681468334,2.4065778847710755e-09,True,True
TOV | 5-9,297,0.13903637405169605,1.8022106270463317e-05,False,False
DREB | 30-44,3879,0.1335829091791072,7.990371933207597e-61,True,True
made_FG | 30-44,3389,0.1315435630292131,1.3564041069538055e-51,True,True
made_FG | 5-9,444,0.12941843888192195,6.067556342388765e-07,True,True
DREB | 10-19,1513,0.12818307392837136,3.9292157763840036e-22,True,True
TOV | 0-4,180,0.12142120880556045,0.009035770406832719,False,False
DREB | 5-9,591,0.121356170415856,4.826142143165772e-08,True,True
other | 10-19,104,0.11568433328898953,0.11413603873111089,False,False
made_FT | 20-29,1403,0.11403444534743096,2.3845319997539935e-16,True,True
TOV | 20-29,810,0.1110839065063084,3.677426612448056e-09,True,True
TOV | 10-19,639,0.10585975245795631,1.0890916068927504e-06,True,True
made_FG | 60-89,6713,0.09788933288140111,1.9138680248209163e-56,True,True
made_FT | 300+,39628,0.09761443243176426,0.0,True,True
made_FG | 0-4,173,0.09491694998547223,0.08292892320726453,False,False
DREB | 45-59,3602,0.09445805760449172,2.0175543951977904e-28,True,True
made_FG | 20-29,1533,0.09214469026265004,8.888096208853223e-12,True,True
made_FG | 150-299,33573,0.09205084709159345,5.1975414446065345e-248,True,True
made_FG | 300+,204402,0.09140771982813314,0.0,True,True
made_FT | 150-299,10475,0.09068202916723847,2.0900895533209926e-75,True,True
made_FG | 10-19,1208,0.09046524672217954,4.716368866652929e-09,True,True
DREB | 60-89,6664,0.08893428038643558,2.5982934937384107e-46,True,True
made_FG | 90-149,13350,0.08766967108900414,1.000679339382096e-89,True,True
made_FT | 0-4,166,0.08008184483369507,0.22513985499992872,False,False
DREB | 90-149,13398,0.0739678002956683,3.406335483401945e-64,True,True
TOV | 30-44,1663,0.0724555785136568,4.886559276426637e-08,True,True
DREB | 0-4,304,0.07191809215940737,0.08200727261901375,True,True
made_FT | 90-149,4753,0.0713481650320748,1.7442091393167318e-21,True,True
DREB | 150-299,32519,0.06915322215714126,1.1549664889103903e-135,True,True
made_FG | 45-59,3545,0.06583560832967111,8.391937326741777e-14,True,True
made_FT | 30-44,2095,0.05601600928659731,3.728994528998731e-06,True,True
period_start | 300+,10994,0.04868009040897536,4.4265361218630636e-23,True,False
other | 0-4,72,0.04844728766795242,0.9929075602497437,False,False
TOV | 90-149,6188,0.04786353601515947,9.29045175262791e-13,True,False
made_FT | 60-89,2852,0.047220545770465416,5.772896638757306e-06,True,False
TOV | 60-89,3104,0.042553538783635214,2.5408451808609142e-05,True,False
TOV | 300+,93765,0.04053190909149029,2.7723724226967653e-134,True,False
made_FT | 45-59,1847,0.03820102792301583,0.008878226439741992,True,False
TOV | 150-299,15063,0.0347837353182171,2.8643645693070987e-16,True,False
DREB | 300+,190250,0.027131566772885196,4.2654102879298027e-122,True,False
TOV | 45-59,1733,0.025335209698328837,0.21231043398130955,True,False
