cell,n,ks_D,ks_p,powered,leak_sized
other | 45-59,80,0.5959803062705393,1.166753646607244e-27,False,False
other | 60-89,90,0.5681645920319033,5.537636523619872e-28,False,False
other | 90-149,187,0.5643399776412392,9.907685121686881e-57,False,False
other | 300+,2195,0.5636678318226866,0.0,True,True
other | 150-299,461,0.562534029079917,4.173244587276501e-138,True,True
other | 5-9,64,0.5465638254653165,1.838470799977278e-18,False,False
other | 30-44,135,0.5122855908646159,2.1000516296379805e-33,False,False
other | 10-19,104,0.4674878841030459,2.3520832042275855e-21,False,False
other | 20-29,79,0.4263509250259052,1.502096621308249e-13,False,False
other | 0-4,72,0.3477293707288381,2.7691349290241013e-08,False,False
DREB | 0-4,304,0.2804708917561118,1.2112282302688146e-21,True,True
TOV | 0-4,180,0.24244505855421983,8.460529999746295e-10,False,False
made_FT | 0-4,166,0.21201273303933696,5.015562582578332e-07,False,False
made_FG | 0-4,173,0.2049563635714482,7.528868867930834e-07,False,False
DREB | 5-9,591,0.17246344610631736,7.681379231607875e-16,True,True
TOV | 20-29,810,0.16971209415426147,7.267505933157778e-21,True,True
period_start | 300+,10994,0.16690630661469685,3.6744902139658434e-268,True,True
made_FG | 5-9,444,0.16261060650654754,1.0010083305814823e-10,True,True
made_FG | 150-299,33573,0.15149910337374473,0.0,True,True
made_FG | 300+,204402,0.1507323609176134,0.0,True,True
DREB | 10-19,1513,0.15049133620618854,2.2232112263996753e-30,True,True
TOV | 5-9,297,0.15030934358669795,2.533400063861517e-06,False,False
TOV | 30-44,1663,0.1414107420143948,1.7744188993528514e-29,True,True
made_FT | 300+,39628,0.1389979854266715,0.0,True,True
TOV | 45-59,1733,0.1375824407648999,4.472252293978456e-29,True,True
made_FT | 150-299,10475,0.13488752180769562,1.1116789833938047e-166,True,True
made_FG | 90-149,13350,0.133328489509561,2.0579766692928417e-207,True,True
DREB | 20-29,1864,0.12650955081687537,1.828218126025133e-26,True,True
TOV | 10-19,639,0.12442573137791327,4.417973413109672e-09,True,True
made_FG | 60-89,6713,0.1232051502222615,2.8700156633081003e-89,True,True
made_FG | 30-44,3389,0.12262270841895817,7.203320984067668e-45,True,True
made_FG | 20-29,1533,0.1162114877815088,1.7093093765399018e-18,True,True
made_FT | 90-149,4753,0.11437210990183058,1.28432768702154e-54,True,True
DREB | 30-44,3879,0.11143813775634244,2.0598780562148007e-42,True,True
TOV | 60-89,3104,0.10530125115221944,2.0099013481265954e-30,True,True
DREB | 45-59,3602,0.09235536217454794,3.4604737884701986e-27,True,True
TOV | 150-299,15063,0.09163172011973952,1.643462834451183e-110,True,True
TOV | 90-149,6188,0.08738172734962621,1.470174741718303e-41,True,True
made_FT | 60-89,2852,0.08691069138377927,3.421098405656643e-19,True,True
made_FT | 20-29,1403,0.08614907272183897,1.6528372289732374e-09,True,True
made_FT | 5-9,461,0.08356551576022817,0.003003156049825654,True,True
made_FT | 30-44,2095,0.0763521248303839,4.550450607863285e-11,True,True
TOV | 300+,93765,0.07459850637077889,0.0,True,True
made_FT | 45-59,1847,0.07429832749400916,2.591914714725864e-09,True,True
made_FG | 10-19,1208,0.07181245171540049,7.310482532874236e-06,True,True
made_FG | 45-59,3545,0.0706127898496019,8.153024717978769e-16,True,True
made_FT | 10-19,1430,0.07029436906874847,1.3719798294224417e-06,True,True
DREB | 60-89,6664,0.06539972192356627,3.1778710525744235e-25,True,True
DREB | 90-149,13398,0.06123751939110461,4.0465943569142345e-44,True,True
DREB | 300+,190250,0.04778074544899197,0.0,True,False
DREB | 150-299,32519,0.04684547958961817,1.8731843152058203e-62,True,False
