segment,level,n,n_censored,crps_trunc,censored_loglik
half,H1,358430,3256,5.008258481886267,-3.654707370275032
half,H2,366371,1819,5.131800403602111,-3.6828497949063443
half,OT,6403,202,4.80166008468355,-3.5222494348398867
score_bucket,-15..-6,148128,1164,4.826847696496098,-3.624730401478741
score_bucket,-5..5,346077,2676,5.079645473884634,-3.669898258330009
score_bucket,6..15,130535,751,5.335744192714645,-3.7118398438196025
score_bucket,<=-16,57265,380,4.74467674476106,-3.616836083535979
score_bucket,>=16,49199,306,5.38447327401126,-3.7229315895362682
season,2025,731204,5277,5.068534980741249,-3.6676482733527056
