q,n,sim_mean,actual_mean,delta,span_sim,span_actual,slope_ratio,steps_agreeing
1,1064,66.22133458646617,63.96898496240601,2.252349624060159,8.213815789473685,8.290883458646618,0.9907045287082694,4
2,1064,68.74859022556392,66.56860902255639,2.1799812030075287,8.213815789473685,8.290883458646618,0.9907045287082694,4
3,1063,70.18250235183443,68.06585136406397,2.1166509877704556,8.213815789473685,8.290883458646618,0.9907045287082694,4
4,1064,71.70535714285714,69.80263157894737,1.9027255639097689,8.213815789473685,8.290883458646618,0.9907045287082694,4
5,1064,74.43515037593986,72.25986842105263,2.1752819548872253,8.213815789473685,8.290883458646618,0.9907045287082694,4
