q,n,sim_mean,actual_mean,delta,span_sim,span_actual,slope_ratio,steps_agreeing
1,1064,66.78242481203007,63.96898496240601,2.8134398496240607,6.4520676691729335,8.290883458646618,0.7782123221674319,4
2,1064,67.22415413533835,66.56860902255639,0.6555451127819651,6.4520676691729335,8.290883458646618,0.7782123221674319,4
3,1063,70.17450611476951,68.06585136406397,2.10865475070554,6.4520676691729335,8.290883458646618,0.7782123221674319,4
4,1064,71.59586466165413,69.80263157894737,1.793233082706763,6.4520676691729335,8.290883458646618,0.7782123221674319,4
5,1064,73.234492481203,72.25986842105263,0.9746240601503757,6.4520676691729335,8.290883458646618,0.7782123221674319,4
