band,n,horn_rate,actual_mean_observed,pred_mean_intended
"[0, 5)",2430,0.6316872427983539,1.5650205761316873,9.231243504760524
"[5, 10)",3030,0.38712871287128714,4.4405940594059405,8.280370017187966
"[10, 20)",5995,0.18365304420350292,7.684737281067556,9.02419056754329
"[20, 30)",6630,0.14193061840120663,12.308748114630468,12.942519561924694
"[30, 45)",11649,0.04189200789767362,15.457292471456777,15.664426872915318
"[45, 60)",10839,0.0029523018728665005,14.733462496540271,14.673733934815084
"[60, 90)",19430,0.0003602676273803397,16.692588780236747,16.624402639616623
"[90, 1201)",671201,0.0,17.89432524683366,17.916958943144213
