arm,feature_set,cell,n,ks_D,ks_p,powered,leak_sized
empirical,D_plus_season,DREB | 0-34,6552,0.01883029612472409,0.018948450676318014,True,False
empirical,D_plus_season,DREB | 120-299,39095,0.005763220306892983,0.14835220529355486,True,False
empirical,D_plus_season,DREB | 300-599,64535,0.010253690662601234,2.5379774836247743e-06,True,False
empirical,D_plus_season,DREB | 35-119,19776,0.010206473862360177,0.03226004410140593,True,False
empirical,D_plus_season,DREB | 600+,125715,0.007261183323074405,3.4802103104280854e-06,True,False
empirical,D_plus_season,TOV | 0-34,2984,0.02615158760361236,0.03316833946729636,True,False
empirical,D_plus_season,TOV | 120-299,18055,0.01280190997112754,0.005334507766865179,True,False
empirical,D_plus_season,TOV | 300-599,30745,0.008885575773236426,0.015488231304677011,True,False
empirical,D_plus_season,TOV | 35-119,9196,0.011822957068006623,0.1516673753926202,True,False
empirical,D_plus_season,TOV | 600+,63019,0.0098131344156282,1.064127937351722e-05,True,False
empirical,D_plus_season,made_FG | 0-34,5322,0.020108563763588272,0.02666464024892845,True,False
empirical,D_plus_season,made_FG | 120-299,40350,0.006421600795333771,0.07143166206879437,True,False
empirical,D_plus_season,made_FG | 300-599,67288,0.010817510383898443,2.874237894534575e-07,True,False
empirical,D_plus_season,made_FG | 35-119,19323,0.015205056032525588,0.0002607210782509971,True,False
empirical,D_plus_season,made_FG | 600+,137113,0.007623464299004068,2.3838837085910065e-07,True,False
empirical,D_plus_season,made_FT | 0-34,4977,0.022981194103272817,0.010258826739207468,True,False
empirical,D_plus_season,made_FT | 120-299,12683,0.023915312683432943,9.833755772499723e-07,True,False
empirical,D_plus_season,made_FT | 300-599,16571,0.006363615487954388,0.5112264539442606,True,False
empirical,D_plus_season,made_FT | 35-119,8641,0.04682832484834376,6.624533690532016e-17,True,False
empirical,D_plus_season,made_FT | 600+,23057,0.011220189953397353,0.005976895938208863,True,False
empirical,D_plus_season,other | 0-34,422,0.06100769299234399,0.08291893720837251,True,True
empirical,D_plus_season,other | 120-299,548,0.07537157151759755,0.003739627893787377,True,True
empirical,D_plus_season,other | 300-599,830,0.08262588324438258,2.2339824780496884e-05,True,True
