q,n,sim_mean,actual_mean,delta,span_sim,span_actual,slope_ratio,steps_agreeing
1,1064,62.58646616541353,63.96898496240601,-1.3825187969924784,7.753759398496236,8.290883458646618,0.935215099472878,4
2,1064,65.04276315789474,66.56860902255639,-1.5258458646616475,7.753759398496236,8.290883458646618,0.935215099472878,4
3,1063,66.36782690498589,68.06585136406397,-1.6980244590780842,7.753759398496236,8.290883458646618,0.935215099472878,4
4,1064,67.82283834586467,69.80263157894737,-1.9797932330827024,7.753759398496236,8.290883458646618,0.935215099472878,4
5,1064,70.34022556390977,72.25986842105263,-1.9196428571428612,7.753759398496236,8.290883458646618,0.935215099472878,4
