band,n,horn_rate,actual_mean_observed,pred_mean_intended
"[0, 5)",2430,0.6316872427983539,1.5650205761316873,7.805675661608896
"[5, 10)",3030,0.38712871287128714,4.4405940594059405,8.180876347312584
"[10, 20)",5995,0.18365304420350292,7.684737281067556,10.448278393956805
"[20, 30)",6630,0.14193061840120663,12.308748114630468,14.54646990911465
"[30, 45)",11649,0.04189200789767362,15.457292471456777,16.310466164147186
"[45, 60)",10839,0.0029523018728665005,14.733462496540271,15.287083898347282
"[60, 90)",19430,0.0003602676273803397,16.692588780236747,17.293743477343902
"[90, 1201)",671201,0.0,17.89432524683366,18.653629843643333
