q,n,sim_mean,actual_mean,delta,span_sim,span_actual,slope_ratio,steps_agreeing
1,1064,65.06954887218045,63.96898496240601,1.1005639097744364,8.505639097744364,8.290883458646618,1.025902624270249,4
2,1064,67.67434210526316,66.56860902255639,1.1057330827067773,8.505639097744364,8.290883458646618,1.025902624270249,4
3,1063,69.17450611476951,68.06585136406397,1.10865475070554,8.505639097744364,8.290883458646618,1.025902624270249,4
4,1064,70.79417293233082,69.80263157894737,0.9915413533834538,8.505639097744364,8.290883458646618,1.025902624270249,4
5,1064,73.57518796992481,72.25986842105263,1.315319548872182,8.505639097744364,8.290883458646618,1.025902624270249,4
