segment,level,n,n_censored,crps_trunc,censored_loglik
half,H1,358430,3256,4.926175436354983,-3.541765139006139
half,H2,366371,1819,4.992889071861733,-3.546368469217867
half,OT,6403,202,4.634506904019942,-3.3590130527956825
score_bucket,-15..-6,148128,1164,4.763974522030343,-3.512788049530507
score_bucket,-5..5,346077,2676,4.963281803813537,-3.544373343317069
score_bucket,6..15,130535,751,5.200948636885045,-3.574203973028584
score_bucket,<=-16,57265,380,4.672164756868919,-3.504474113467951
score_bucket,>=16,49199,306,5.179698775245817,-3.578495789016349
season,2025,731204,5277,4.9571867538597,-3.5424713237165557
