cell,n,ks_D,ks_p,powered,leak_sized
other | 45-59,80,0.46000417899793217,5.228993937227604e-16,False,False
other | 30-44,135,0.3571484265848696,6.417958840918955e-16,False,False
other | 60-89,90,0.35418098045837626,1.320839086321422e-10,False,False
other | 90-149,187,0.33301457169135434,5.481581926962033e-19,False,False
other | 150-299,461,0.3164374731959086,1.543503901171047e-41,True,True
other | 300+,2195,0.31192714485046746,3.079779752202954e-190,True,True
other | 20-29,79,0.2632654359709131,2.5422842798563694e-05,False,False
made_FT | 5-9,461,0.17985776297566308,1.610435770056189e-13,True,True
made_FT | 0-4,166,0.1628738332246032,0.00025756856128349723,False,False
TOV | 5-9,297,0.1590787206562928,4.944690341364314e-07,False,False
period_start | 300+,10994,0.1523922041440225,2.1674084483505028e-223,True,True
TOV | 0-4,180,0.14978195408199713,0.0005451366772336498,False,False
made_FG | 5-9,444,0.14796879724428563,5.981628567385979e-09,True,True
DREB | 5-9,591,0.1454663798453349,2.2319190283263624e-11,True,True
made_FT | 10-19,1430,0.13734644732277315,5.429883172772929e-24,True,True
made_FT | 300+,39628,0.13540089777591807,0.0,True,True
made_FG | 300+,204402,0.12856112094574695,0.0,True,True
made_FG | 0-4,173,0.12851275058806166,0.005969812106336536,False,False
TOV | 30-44,1663,0.12525699839158788,3.352100315419766e-23,True,True
made_FG | 150-299,33573,0.12245001285357854,0.0,True,True
other | 5-9,64,0.12040623026147057,0.28783043125681873,False,False
made_FT | 150-299,10475,0.11876353648165539,3.4044664105169557e-129,True,True
DREB | 0-4,304,0.11197881206972221,0.0008925622820282672,True,True
made_FG | 90-149,13350,0.10845701432379426,3.2666232080955404e-137,True,True
TOV | 45-59,1733,0.10571037882225498,2.568081888866445e-17,True,True
made_FT | 90-149,4753,0.09688263645462769,2.775095121328795e-39,True,True
made_FT | 20-29,1403,0.09310815876641544,4.906494665899929e-11,True,True
made_FT | 30-44,2095,0.09217681550981882,6.101627796685137e-16,True,True
TOV | 60-89,3104,0.09034702916030524,1.6949055857252344e-22,True,True
made_FG | 60-89,6713,0.09015519235273092,6.275573786751831e-48,True,True
TOV | 10-19,639,0.08547008022049662,0.00016461986311688018,True,True
DREB | 10-19,1513,0.08468083572557683,6.902855587454473e-10,True,True
made_FG | 30-44,3389,0.08294624218470936,9.878396392076122e-21,True,True
DREB | 30-44,3879,0.08255616303230273,1.9065790205846895e-23,True,True
DREB | 20-29,1864,0.0779239696744145,2.723881364636137e-10,True,True
TOV | 20-29,810,0.0769062771529645,0.00012976038631325686,True,True
made_FG | 10-19,1208,0.07170200961921044,7.597033697573451e-06,True,True
TOV | 150-299,15063,0.0678680335531176,9.049695827713754e-61,True,True
TOV | 90-149,6188,0.06428385499172035,1.1265091495435569e-22,True,True
other | 0-4,72,0.05874013852467164,0.9525142590919105,False,False
DREB | 300+,190250,0.05835835157222252,0.0,True,True
other | 10-19,104,0.05792561985809164,0.8561209308633548,False,False
made_FT | 60-89,2852,0.053799675414794884,1.292154663377648e-07,True,True
TOV | 300+,93765,0.05126182095991416,1.403044403143563e-214,True,True
made_FT | 45-59,1847,0.050589150861323984,0.00015091952678413035,True,True
DREB | 45-59,3602,0.04467220214856349,1.1018833130755758e-06,True,False
made_FG | 20-29,1533,0.042808087430376895,0.007045084301978315,True,False
made_FG | 45-59,3545,0.042104794264886,6.7339101460199495e-06,True,False
DREB | 60-89,6664,0.03708913402979819,2.117097953083718e-08,True,False
DREB | 90-149,13398,0.030378086744699606,3.555724634331262e-11,True,False
DREB | 150-299,32519,0.02752717425695561,7.701831035878808e-22,True,False
