segment,level,n,n_censored,crps_trunc,censored_loglik
half,H1,358430,3256,4.8699548334921685,-3.5533039112057216
half,H2,366371,1819,4.9979207226925295,-3.578582795717875
half,OT,6403,202,4.690187353707466,-3.4322925507956197
score_bucket,-15..-6,148128,1164,4.709908363619568,-3.5235645663007817
score_bucket,-5..5,346077,2676,4.933243868462711,-3.567052880247279
score_bucket,6..15,130535,751,5.202821206323449,-3.60712341515107
score_bucket,<=-16,57265,380,4.644812862986677,-3.5197837187954932
score_bucket,>=16,49199,306,5.216211063601445,-3.614846768801321
season,2025,731204,5277,4.932682191336173,-3.5649102679227203
