segment,level,n,n_censored,crps_trunc,censored_loglik
half,H1,358430,1045,4.824511339158691,-5.092259173885874
half,H2,366371,580,4.857991425596495,-5.146652673619469
half,OT,6403,72,4.511481278230595,-4.815907473253641
score_bucket,-15..-6,148128,377,4.648788230246129,-5.13674938148382
score_bucket,-5..5,346077,846,4.846926146378704,-5.083249367110483
score_bucket,6..15,130535,253,5.0668640064639625,-5.116134905052574
score_bucket,<=-16,57265,116,4.562365503369199,-5.189099757580079
score_bucket,>=16,49199,105,5.066844045877861,-5.2147081624220855
season,2025,731204,1697,4.838582377520811,-5.117093175001497
