segment,level,n,n_censored,crps_trunc,censored_loglik
half,H1,358430,3256,4.843270136507783,-3.500061065996757
half,H2,366371,1819,4.969358841391462,-3.5183646213410844
half,OT,6403,202,4.756230438105497,-3.411919444987955
score_bucket,-15..-6,148128,1164,4.717880196378532,-3.474074479733375
score_bucket,-5..5,346077,2676,4.897755526096505,-3.508235730266456
score_bucket,6..15,130535,751,5.146378180728004,-3.543696408733487
score_bucket,<=-16,57265,380,4.67158919081128,-3.478591082622361
score_bucket,>=16,49199,306,5.161743587693628,-3.554845471636918
season,2025,731204,5277,4.905846891984522,-3.5084602556561917
