arm,feature_set,month,n_games,powered,sim_mean,actual_mean,mean_delta,sim_sd,actual_sd,sd_delta,pass
lgbm_quantile,B_plus_teams,12,883,True,71.269,68.668,2.601,4.317,5.302,-0.985,False
lgbm_quantile,C_plus_score,1,1358,True,70.116,67.653,2.462,4.432,4.907,-0.475,False
lgbm_quantile,C_plus_score,2,1203,True,69.663,67.341,2.322,4.452,4.847,-0.395,False
lgbm_quantile,C_plus_score,3,734,True,69.623,67.582,2.042,4.543,4.852,-0.308,False
lgbm_quantile,C_plus_score,4,16,False,69.156,69.062,0.094,3.477,4.505,-1.028,False
lgbm_quantile,C_plus_score,11,1125,True,71.348,69.487,1.862,4.41,5.234,-0.824,False
lgbm_quantile,C_plus_score,12,883,True,70.839,68.668,2.171,4.362,5.302,-0.94,False
lgbm_quantile,D_plus_season,1,1358,True,70.172,67.653,2.518,4.391,4.907,-0.515,False
lgbm_quantile,D_plus_season,2,1203,True,69.732,67.341,2.391,4.37,4.847,-0.477,False
lgbm_quantile,D_plus_season,3,734,True,69.732,67.582,2.151,4.381,4.852,-0.471,False
lgbm_quantile,D_plus_season,4,16,False,71.531,69.062,2.469,3.744,4.505,-0.761,False
lgbm_quantile,D_plus_season,11,1125,True,71.896,69.487,2.409,4.421,5.234,-0.814,False
lgbm_quantile,D_plus_season,12,883,True,71.262,68.668,2.593,4.31,5.302,-0.992,False
