cell,n,ks_D,ks_p,powered,leak_sized
other | 45-59,80,0.2630670574272217,2.2469324209787514e-05,False,False
other | 60-89,90,0.24108377646469215,4.340487769290234e-05,False,False
other | 300+,2195,0.22893461889144245,1.3244787139367289e-101,True,True
other | 150-299,461,0.225568419029418,4.3069410507796216e-21,True,True
other | 90-149,187,0.21588181402725926,3.950133471581156e-08,False,False
made_FT | 10-19,1430,0.20193916450215416,1.346447970246564e-51,True,True
other | 30-44,135,0.1999140385408794,3.3226152284969774e-05,False,False
other | 20-29,79,0.1911869727408796,0.005288905289605572,False,False
made_FT | 5-9,461,0.17081687626305658,3.1354058867244523e-12,True,True
other | 5-9,64,0.1696676066515127,0.04431287075467771,False,False
DREB | 20-29,1864,0.16920701056808396,4.005480899022473e-47,True,True
made_FG | 5-9,444,0.16217524710579034,1.1369006889453945e-10,True,True
made_FT | 20-29,1403,0.14448971629445473,5.0344198516400295e-26,True,True
TOV | 5-9,297,0.1405954728429456,1.3866624195579065e-05,False,False
DREB | 10-19,1513,0.13793778809096224,1.4228726978631625e-25,True,True
DREB | 30-44,3879,0.12819246444729548,4.95341456972628e-56,True,True
made_FG | 30-44,3389,0.12435086290896347,3.909438887897191e-46,True,True
TOV | 20-29,810,0.12009547824530342,1.2268339087988467e-10,True,True
made_FG | 0-4,173,0.11567696324596288,0.017917089082775794,False,False
TOV | 10-19,639,0.1115740579959098,2.1996904148023406e-07,True,True
TOV | 0-4,180,0.10961052220112266,0.024438430110496512,False,False
other | 10-19,104,0.10412130582824164,0.19536219063341553,False,False
made_FG | 10-19,1208,0.1016802242837459,2.5137839905500196e-11,True,True
DREB | 5-9,591,0.10135418729855028,9.730882004435474e-06,True,True
made_FG | 20-29,1533,0.1010427543723732,4.4467206962794597e-14,True,True
made_FT | 300+,39628,0.09698438663413556,0.0,True,True
made_FG | 150-299,33573,0.09219139819800176,9.073054561589835e-249,True,True
made_FG | 300+,204402,0.09150392745759653,0.0,True,True
made_FT | 150-299,10475,0.09032043432643155,8.278096319175599e-75,True,True
made_FG | 60-89,6713,0.08988334626575806,1.2137663575278228e-47,True,True
DREB | 45-59,3602,0.08827596922364289,7.144982815974867e-25,True,True
made_FG | 90-149,13350,0.08647936161071787,2.5848225534183143e-87,True,True
DREB | 60-89,6664,0.08051399255529812,5.036904587979845e-38,True,True
made_FT | 0-4,166,0.07991758934161963,0.22713227291079674,False,False
DREB | 90-149,13398,0.07024002989190792,6.36398212740686e-58,True,True
TOV | 30-44,1663,0.0690034581857164,2.4938379801309104e-07,True,True
DREB | 150-299,32519,0.06899695329892797,4.71728150806781e-135,True,True
made_FT | 30-44,2095,0.06847164366837713,5.5180101778654104e-09,True,True
made_FT | 90-149,4753,0.0654615059113268,3.757726153945646e-18,True,True
DREB | 0-4,304,0.06426328155520511,0.15542960498942437,True,True
made_FG | 45-59,3545,0.06245370174227366,1.832907463140286e-12,True,True
other | 0-4,72,0.04871530572986288,0.9924257022957664,False,False
period_start | 300+,10994,0.04819824824388602,1.2371460564117415e-22,True,False
made_FT | 60-89,2852,0.04650891044384753,8.45244135858207e-06,True,False
made_FT | 45-59,1847,0.04259804188579219,0.002380912135014616,True,False
TOV | 90-149,6188,0.0420536105225332,6.026050346020286e-10,True,False
TOV | 300+,93765,0.040168529438285194,6.807639783541086e-132,True,False
TOV | 150-299,15063,0.03543260283549868,7.251384119826832e-17,True,False
TOV | 45-59,1733,0.032842498698394146,0.04652740629627439,True,False
TOV | 60-89,3104,0.03184192660708696,0.0036123469816647215,True,False
DREB | 300+,190250,0.027400387218580624,1.6093435270432924e-124,True,False
