segment,level,n,n_censored,crps_trunc,censored_loglik
half,H1,358430,3256,4.870367628356781,-3.553374920197496
half,H2,366371,1819,5.017058905399231,-3.5833770628310404
half,OT,6403,202,4.803274830389166,-3.449314914012924
score_bucket,-15..-6,148128,1164,4.728719453167668,-3.5289798897192752
score_bucket,-5..5,346077,2676,4.9468247566901855,-3.569007621180482
score_bucket,6..15,130535,751,5.207241410042237,-3.6100024095303755
score_bucket,<=-16,57265,380,4.65172824580586,-3.522352686703217
score_bucket,>=16,49199,306,5.204541405257341,-3.6125978002716055
season,2025,731204,5277,4.943461143253158,-3.5674963128310084
