fold,arm,feature_set,n_train,n_test_scored,n_test_censored_excluded,fit_seconds,crps,logscore_defined,logscore_undef_pct,pred_mean_duration,actual_mean_duration,mean_duration_gap,censored_mean_pred_survival,n_features_used,dropped_zero_variance,n_cells,n_powered,n_underpowered,pit_leak_failures,pit_worst_D_powered,pit_worst_cell,pit_median_D_powered,g1_sim_mean,g1_actual_mean,g1_mean_delta,g1_sim_sd,g1_actual_sd,g1_sd_delta,g1_count_ks_D,g1_count_ks_p,g1_pass,g1_overall_pass,g1_months_powered,g1_months_pass,eoh_sim_share_lt35,eoh_actual_share_lt35,eoh_sim_mean_dur,eoh_actual_mean_dur,chain_wrapped_halves
F1,empirical,A_state,1178085,696422,1481,0.26,4.933496,3.520438,0.0162,17.5885,17.4002,0.1883,0.4209,9,,27,27,0,2,0.082,other | 35-119,0.0203,,,,,,,,,False,,,,,,,,
F1,empirical,B_plus_teams,1178085,696422,1481,0.32,4.913755,3.514837,0.0974,17.5258,17.4002,0.1256,0.4206,18,,27,27,0,2,0.082,other | 35-119,0.01924,,,,,,,,,False,,,,,,,,
F1,empirical,C_plus_score,1178085,696422,1481,0.39,4.889069,3.502934,0.4825,17.4951,17.4002,0.095,0.4028,21,,27,27,0,2,0.082,other | 35-119,0.01965,,,,,,,,,False,,,,,,,,
F1,empirical,D_plus_season,1178085,696422,1481,0.56,4.890707,3.500669,0.7109,17.4782,17.4002,0.0781,0.403,23,,27,27,0,2,0.082,other | 35-119,0.01975,,,,,,,,,False,,,,,,,,
F1,lognormal,A_state,1178085,696422,1481,2.01,5.215992,3.722653,0.0,18.3495,17.4002,0.9493,0.5894,8,chance_number_at_start,27,27,0,26,0.35668,made_FT | 0-34,0.15097,,,,,,,,,False,,,,,,,,
F1,lognormal,B_plus_teams,1178085,696422,1481,3.43,5.186563,3.717578,0.0,18.2825,17.4002,0.8823,0.5894,17,chance_number_at_start,27,27,0,27,0.35585,made_FT | 0-34,0.15461,,,,,,,,,False,,,,,,,,
F1,lognormal,C_plus_score,1178085,696422,1481,3.58,5.164061,3.711072,0.0,18.2671,17.4002,0.8669,0.588,20,chance_number_at_start,27,27,0,27,0.34484,made_FT | 0-34,0.15349,,,,,,,,,False,,,,,,,,
F1,lognormal,D_plus_season,1178085,696422,1481,4.59,5.162202,3.71085,0.0,18.3618,17.4002,0.9616,0.5897,22,chance_number_at_start,27,27,0,26,0.34722,made_FT | 0-34,0.15212,,,,,,,,,False,,,,,,,,
F1,gamma,A_state,1178085,696422,1481,4.69,5.051002,3.609987,0.0,17.5719,17.4002,0.1717,0.603,8,chance_number_at_start,27,27,0,22,0.4143,made_FT | 0-34,0.11964,,,,,,,,,False,,,,,,,,
F1,gamma,B_plus_teams,1178085,696422,1481,8.87,5.019004,3.60415,0.0,17.5069,17.4002,0.1067,0.6028,17,chance_number_at_start,27,27,0,23,0.41336,made_FT | 0-34,0.12342,,,,,,,,,False,,,,,,,,
F1,gamma,C_plus_score,1178085,696422,1481,10.7,4.997246,3.59884,0.0,17.5153,17.4002,0.1151,0.602,20,chance_number_at_start,27,27,0,23,0.40295,made_FT | 0-34,0.11989,,,,,,,,,False,,,,,,,,
F1,gamma,D_plus_season,1178085,696422,1481,11.8,4.995272,3.598841,0.0,17.5937,17.4002,0.1935,0.6037,22,chance_number_at_start,27,27,0,22,0.40548,made_FT | 0-34,0.11675,,,,,,,,,False,,,,,,,,
