fold,arm,feature_set,n_train,n_test_scored,n_test_censored_excluded,fit_seconds,crps,logscore_defined,logscore_undef_pct,pred_mean_duration,actual_mean_duration,mean_duration_gap,censored_mean_pred_survival,n_features_used,dropped_zero_variance,n_cells,n_powered,n_underpowered,pit_leak_failures,pit_worst_D_powered,pit_worst_cell,pit_median_D_powered,g1_sim_mean,g1_actual_mean,g1_mean_delta,g1_sim_sd,g1_actual_sd,g1_sd_delta,g1_count_ks_D,g1_count_ks_p,g1_pass,g1_overall_pass,g1_months_powered,g1_months_pass,eoh_sim_share_lt35,eoh_actual_share_lt35,eoh_sim_mean_dur,eoh_actual_mean_dur,chain_wrapped_halves
F1,hazard,A_state,1178085,696422,1481,48.78,5.036926,3.578907,0.0,17.3122,17.4002,-0.088,0.468,8,chance_number_at_start,27,27,0,23,0.415,other | 35-119,0.13011,,,,,,,,,False,,,,,,,,
F1,hazard,B_plus_teams,1178085,696422,1481,45.8,5.004932,3.573588,0.0,17.2431,17.4002,-0.1571,0.4687,17,chance_number_at_start,27,27,0,23,0.41105,other | 35-119,0.13467,,,,,,,,,False,,,,,,,,
F1,hazard,C_plus_score,1178085,696422,1481,44.62,4.981775,3.568921,0.0,17.2519,17.4002,-0.1483,0.466,20,chance_number_at_start,27,27,0,23,0.39404,other | 35-119,0.13158,,,,,,,,,False,,,,,,,,
F1,hazard,D_plus_season,1178085,696422,1481,47.51,4.981355,3.568966,0.0,17.2961,17.4002,-0.1041,0.4675,22,chance_number_at_start,27,27,0,23,0.39599,other | 35-119,0.13063,,,,,,,,,False,,,,,,,,
F1,lgbm_quantile,A_state,1178085,696422,1481,48.98,4.875871,3.316059,6.7739,17.3954,17.4002,-0.0048,0.2265,8,chance_number_at_start,27,27,0,6,0.17723,other | 0-34,0.03847,,,,,,,,,False,,,,,,,,
F1,lgbm_quantile,B_plus_teams,1178085,696422,1481,59.66,4.837554,3.302466,7.4096,17.3705,17.4002,-0.0296,0.2269,17,chance_number_at_start,27,27,0,7,0.19231,other | 35-119,0.04396,,,,,,,,,False,,,,,,,,
F1,lgbm_quantile,C_plus_score,1178085,696422,1481,60.72,4.76756,3.284836,7.461,17.3671,17.4002,-0.033,0.2414,20,chance_number_at_start,27,27,0,6,0.19794,other | 35-119,0.0432,,,,,,,,,False,,,,,,,,
F1,lgbm_quantile,D_plus_season,1178085,696422,1481,62.87,4.765645,3.284872,7.456,17.3634,17.4002,-0.0367,0.2417,22,chance_number_at_start,27,27,0,6,0.18306,other | 0-34,0.04382,,,,,,,,,False,,,,,,,,
F2,empirical,A_state,1875988,729507,1697,0.38,4.975456,3.528312,0.0097,17.5328,17.5448,-0.012,0.4481,9,,27,27,0,5,0.08073,other | 300-599,0.01537,69.413,68.133,1.28,3.369,5.088,-1.719,0.2045,9.386220553249075e-98,False,False,5.0,0.0,0.9851,0.8832,9.656,12.063,5939.0
F2,empirical,B_plus_teams,1875988,729507,1697,0.49,4.957385,3.523435,0.0751,17.5766,17.5448,0.0318,0.4482,18,,27,27,0,5,0.08263,other | 300-599,0.017,69.236,68.133,1.103,4.268,5.088,-0.82,0.1198,1.2405577363532996e-33,False,False,5.0,1.0,0.9845,0.8832,9.614,12.063,5840.0
F2,empirical,C_plus_score,1875988,729507,1697,0.6,4.93067,3.510643,0.392,17.5432,17.5448,-0.0017,0.429,21,,27,27,0,5,0.08263,other | 300-599,0.01712,69.257,68.133,1.124,4.331,5.088,-0.757,0.1209,2.9077340349385423e-34,False,False,5.0,1.0,0.9829,0.8832,9.499,12.063,5884.0
F2,empirical,D_plus_season,1875988,729507,1697,0.78,4.932868,3.506188,0.7131,17.478,17.5448,-0.0668,0.4292,23,,27,27,0,5,0.08263,other | 300-599,0.01521,69.504,68.133,1.37,4.302,5.088,-0.786,0.1427,1.2815710337502875e-47,False,False,5.0,0.0,0.9838,0.8832,9.497,12.063,6049.0
F2,lognormal,A_state,1875988,729507,1697,3.13,5.257375,3.725758,0.0,18.2936,17.5448,0.7488,0.6142,8,chance_number_at_start,27,27,0,27,0.34409,made_FT | 0-34,0.1454,66.381,68.133,-1.752,4.507,5.088,-0.581,0.1372,4.533425552865958e-44,False,False,5.0,0.0,0.8878,0.8832,11.853,12.063,4268.0
F2,lognormal,B_plus_teams,1875988,729507,1697,5.26,5.220053,3.72018,0.0,18.3318,17.5448,0.787,0.616,17,chance_number_at_start,27,27,0,27,0.34587,made_FT | 0-34,0.14376,66.228,68.133,-1.905,5.246,5.088,0.158,0.1397,1.2104798487506141e-45,False,False,5.0,0.0,0.8889,0.8832,11.866,12.063,4038.0
F2,lognormal,C_plus_score,1875988,729507,1697,4.95,5.200245,3.714175,0.0,18.2972,17.5448,0.7524,0.614,20,chance_number_at_start,27,27,0,27,0.33435,made_FT | 0-34,0.14709,66.12,68.133,-2.014,5.268,5.088,0.18,0.1476,6.412034101338192e-51,False,False,5.0,0.0,0.8934,0.8832,11.786,12.063,4046.0
F2,lognormal,D_plus_season,1875988,729507,1697,6.96,5.200322,3.714285,0.0,18.1151,17.5448,0.5703,0.6118,22,chance_number_at_start,27,27,0,27,0.33029,made_FT | 0-34,0.15103,66.784,68.133,-1.349,5.296,5.088,0.208,0.0968,4.107561483462144e-22,False,False,5.0,1.0,0.8998,0.8832,11.821,12.063,4408.0
F2,gamma,A_state,1875988,729507,1697,6.87,5.096794,3.615328,0.0001,17.5233,17.5448,-0.0215,0.6269,8,chance_number_at_start,27,27,0,23,0.40097,made_FT | 0-34,0.12434,69.176,68.133,1.043,3.764,5.088,-1.324,0.1587,7.907184904217408e-59,False,False,5.0,0.0,0.9524,0.8832,11.432,12.063,5710.0
F2,gamma,B_plus_teams,1875988,729507,1697,13.34,5.058024,3.609198,0.0001,17.5613,17.5448,0.0165,0.6284,17,chance_number_at_start,27,27,0,23,0.40356,made_FT | 0-34,0.12497,69.02,68.133,0.887,4.797,5.088,-0.292,0.0923,3.8963490275754394e-20,False,True,5.0,3.0,0.9537,0.8832,11.509,12.063,5575.0
F2,gamma,C_plus_score,1875988,729507,1697,15.35,5.039426,3.604436,0.0001,17.5498,17.5448,0.005,0.6273,20,chance_number_at_start,27,27,0,23,0.39279,made_FT | 0-34,0.12028,68.853,68.133,0.72,4.809,5.088,-0.28,0.0797,4.056781986905056e-15,False,True,5.0,4.0,0.9514,0.8832,11.652,12.063,5573.0
F2,gamma,D_plus_season,1875988,729507,1697,20.51,5.043097,3.604537,0.0001,17.3931,17.5448,-0.1517,0.6248,22,chance_number_at_start,27,27,0,23,0.38814,made_FT | 0-34,0.12569,69.48,68.133,1.346,4.832,5.088,-0.256,0.1273,6.032161809953096e-38,False,False,5.0,1.0,0.9551,0.8832,11.391,12.063,5950.0
F2,hazard,A_state,1875988,729507,1697,69.59,5.085629,3.587672,0.0,17.2602,17.5448,-0.2846,0.4965,8,chance_number_at_start,27,27,0,22,0.38871,other | 35-119,0.13675,70.177,68.133,2.044,3.717,5.088,-1.371,0.2371,1.7233678714725108e-131,False,False,5.0,0.0,0.9941,0.8832,7.732,12.063,6274.0
F2,hazard,B_plus_teams,1875988,729507,1697,82.85,5.049537,3.581917,0.0,17.2878,17.5448,-0.257,0.4984,17,chance_number_at_start,27,27,0,22,0.38494,other | 35-119,0.13969,70.06,68.133,1.927,4.719,5.088,-0.369,0.1773,2.0695504109881493e-73,False,False,5.0,0.0,0.9934,0.8832,7.813,12.063,6280.0
F2,hazard,C_plus_score,1875988,729507,1697,100.12,5.029365,3.577804,0.0,17.288,17.5448,-0.2569,0.4959,20,chance_number_at_start,27,27,0,23,0.3813,other | 35-119,0.1365,69.943,68.133,1.81,4.73,5.088,-0.359,0.1671,2.9778781489718893e-65,False,False,5.0,0.0,0.9916,0.8832,7.982,12.063,6278.0
F2,hazard,D_plus_season,1875988,729507,1697,100.81,5.032178,3.578003,0.0,17.114,17.5448,-0.4308,0.4921,22,chance_number_at_start,27,27,0,22,0.37602,other | 35-119,0.14071,70.644,68.133,2.511,4.757,5.088,-0.331,0.2226,7.700331648053235e-116,False,False,5.0,0.0,0.9936,0.8832,7.996,12.063,6642.0
F2,lgbm_quantile,A_state,1875988,729507,1697,87.99,4.917949,3.313323,7.047,17.339,17.5448,-0.2058,0.2496,8,chance_number_at_start,27,27,0,6,0.13959,other | 0-34,0.04155,70.95,68.133,2.816,3.224,5.088,-1.864,0.3268,1.2686472844649088e-251,False,False,5.0,0.0,0.9977,0.8832,5.447,12.063,6708.0
F2,lgbm_quantile,B_plus_teams,1875988,729507,1697,91.22,4.877854,3.302062,7.4877,17.3576,17.5448,-0.1872,0.2534,17,chance_number_at_start,27,27,0,7,0.19105,other | 0-34,0.04404,70.82,68.133,2.687,4.486,5.088,-0.602,0.2386,3.561997987590212e-133,False,False,5.0,0.0,0.9975,0.8832,5.51,12.063,6675.0
F2,lgbm_quantile,C_plus_score,1875988,729507,1697,98.08,4.810246,3.283825,7.5621,17.3518,17.5448,-0.193,0.2577,20,chance_number_at_start,27,27,0,6,0.16124,other | 35-119,0.04484,70.323,68.133,2.19,4.482,5.088,-0.607,0.2064,1.4521956769347547e-99,False,False,5.0,0.0,0.9967,0.8832,5.825,12.063,6564.0
F2,lgbm_quantile,D_plus_season,1875988,729507,1697,113.26,4.808153,3.281154,7.6353,17.282,17.5448,-0.2628,0.2604,22,chance_number_at_start,27,27,0,6,0.19848,other | 35-119,0.04582,70.561,68.133,2.428,4.459,5.088,-0.629,0.2239,3.20601655514312e-117,False,False,5.0,0.0,0.995,0.8832,5.734,12.063,6769.0
