q,n,sim_mean,actual_mean,delta,span_sim,span_actual,slope_ratio,steps_agreeing
1,1064,66.33505639097744,63.96898496240601,2.3660714285714306,6.440789473684205,8.290883458646618,0.7768520092954705,4
2,1064,66.76127819548873,66.56860902255639,0.19266917293234087,6.440789473684205,8.290883458646618,0.7768520092954705,4
3,1063,69.73236124176859,68.06585136406397,1.6665098777046126,6.440789473684205,8.290883458646618,0.7768520092954705,4
4,1064,71.14755639097744,69.80263157894737,1.3449248120300723,6.440789473684205,8.290883458646618,0.7768520092954705,4
5,1064,72.77584586466165,72.25986842105263,0.5159774436090174,6.440789473684205,8.290883458646618,0.7768520092954705,4
