prev_end,n,actual_mean,model_mean,actual_sd,model_cond_var,resid_ms,z_sd,model_cond_sd,resid_sd,cond_sd_ratio,underpowered
DREB,94904,14.506501306583495,14.472229953409695,9.139696408401695,79.79998131022104,80.52765556777726,1.0068311547083437,8.933083527552009,8.973720274656284,0.995471583037969,False
TOV,45869,14.881619394362206,14.90093050115872,9.383746834781416,84.19961801685835,85.1189526262952,1.008328708284691,9.176034983415132,9.225993313800698,0.9945850458930167,False
made_FG,99695,21.786538943778524,21.52587795271068,9.253980223208714,79.62505409757611,79.23279419487986,1.0025533447121688,8.923287180046158,8.901280480631979,1.0024723071542418,False
made_FT,24681,18.588144726712855,18.10007211058533,9.221523012785127,66.7888324326504,68.09909457228053,1.0161578350404055,8.172443479930001,8.252217554832187,0.990333013596391,False
other,1400,1.7571428571428571,1.5263750009414558,4.290174336056609,15.96092690576553,18.148560017853608,1.0489058137675864,3.9951128777251754,4.260112676661688,0.9377951197421914,False
period_start,3981,20.84777694046722,20.46725638107898,8.000215964828717,63.9721756745968,62.19958747921345,0.9846519308743757,7.998260790609218,7.886671508260848,1.0141490972752556,False
