r2_bucket,n,actual_mean,model_mean,actual_sd,model_cond_var,resid_ms,z_sd,model_cond_sd,resid_sd,cond_sd_ratio,underpowered
0-4,1406,1.6109530583214793,1.930874738124241,1.4087149498371043,0.500704937678287,0.8621141209121417,1.4825978163281657,0.707605071829115,0.9285010074911829,0.7620940269532605,False
10-19,2777,7.884407634137559,8.739822380607606,5.377128117364034,22.553140092589,19.70236462719205,0.9329129679640242,4.749014644385612,4.438734574987792,1.069902821210857,False
150-299,32945,18.153650022765216,17.88782926582089,9.777140007119602,82.47523497445901,83.04917130873434,1.0041690829246996,9.081587690181658,9.113131805736947,0.996538608655322,False
20-29,2579,12.660333462582397,11.880857839857134,9.030730487581916,55.79315333183589,52.738092981269375,0.960791638781686,7.4694814633839135,7.262099763929808,1.0285567130988962,False
30-44,4133,16.441325913380112,13.654700720989144,11.226578518448077,82.04399837944854,104.14789120426934,1.0847201334233398,9.05781421643481,10.205287414094194,0.8875609131718676,False
300+,200913,18.069238924310522,17.986490009409202,9.695009543512374,79.65379737583403,79.51880848353262,0.999306296314442,8.924897611504237,8.917331915070372,1.0008484260209132,False
45-59,3787,15.30367045154476,14.16530440645679,10.055219686441998,89.91183317178215,93.35455528226362,1.013840832286305,9.482185042055557,9.662016108569869,0.9813878320535184,False
5-9,1724,4.575406032482599,5.3622366390735205,2.6503755486559055,4.764837645625544,5.345717574764825,1.0285032883079341,2.182850807001144,2.3120807889787987,0.9441066321758016,False
60-89,6859,17.18049278320455,17.145567570850993,10.02819406876917,82.36575308424207,83.73590169152327,1.0074342491945791,9.075558004015074,9.150732303565833,0.9917848870388803,False
90-149,13407,17.804430521369433,17.583768653786283,9.863824477877587,83.42979977480108,84.11409068052012,1.0039883802037786,9.133991448145826,9.17137343479809,0.9959240579485698,False
