terminal_event,n,actual_mean,model_mean,actual_sd,model_cond_var,resid_ms,z_sd,model_cond_sd,resid_sd,cond_sd_ratio,underpowered
FGA_3,71511,19.040469298429613,17.654627810846826,9.29531715521033,78.2910687553861,72.05514189766744,0.945903028638563,8.848224045275193,8.488530019836617,1.0423741242120859,False
FGA_jump2,47921,21.09298637340623,18.00271816041577,9.095137637555515,79.45004926524027,80.09796767625798,0.9418959542029578,8.913475711821976,8.949746793974564,0.9959472504655654,False
FGA_rim,67691,17.102775849078903,17.41081203787067,9.682548758294873,79.75426260429424,74.26967904545782,0.9635426862930236,8.930524206579042,8.617985788190754,1.036265831259151,False
FT_trip_bonus,15509,11.870655748275196,15.112758663748657,9.93933927741377,74.94939952735115,79.51965810429827,0.9711126636303932,8.657332125276882,8.91737955367485,0.970838133912243,False
FT_trip_shooting,18493,15.597901908830368,17.75936894367325,9.870911340273677,79.77363337093321,87.77626951182162,1.0229444508129377,8.931608666468387,9.36889905548254,0.953325317475989,False
TOV,46205,16.171583161995454,17.70161914675626,9.70116389496937,79.46261603456033,81.8871829228786,1.0093760569942958,8.914180614872032,9.049153713076079,0.9850844507139923,False
end_period,962,11.307692307692308,7.247706575338686,11.490616136010443,19.42334295723218,69.11053068220804,0.8009634617018159,4.407192185193673,8.313274365868605,0.5301391474926007,False
unknown,2238,6.623771224307418,18.714760130586765,10.82855410400669,74.44123685606702,301.39062626582006,1.4684341249414772,8.627933521769105,17.360605584651132,0.49698344217883955,False
