fold,feature_set,model_class,target,n_features,n_train,n_test,rmse,mae,resid_sd_fitted,pit_ks_stat,pit_ks_p,coverage_50,coverage_80,coverage_95,g1_month_pass,fit_seconds
F1,A_tempo,multiplicative,poss_pbp,5,10824,5551,4.808255771343226,3.7187024498805648,4.884470634541359,0.07402233421217563,6.755873315122671e-27,0.5258511979823455,0.830120698973158,0.9547829219960368,True,0.0
F1,A_tempo,ridge,poss_pbp,5,10824,5551,4.819012981562153,3.6670042157153513,4.838520986460993,0.05139780428739735,3.4828816484032364e-13,0.5440461178166096,0.8315618807422086,0.9493784903620969,False,0.05095100402832031
F1,A_tempo,glm_gaussian,poss_pbp,5,10824,5551,4.81989895840364,3.6678657125649,4.838475216136925,0.0514215888868689,3.389434534990224e-13,0.5440461178166096,0.8312015852999459,0.9493784903620969,False,0.0216829776763916
F1,A_tempo,lightgbm,poss_pbp,5,10824,5551,4.853844320414297,3.6977678918239185,4.73764547560331,0.046660398310187756,6.101421406073715e-11,0.5281931183570527,0.8200324265898037,0.9439740587281571,False,17.554936408996582
F1,B_plus_season,multiplicative,poss_pbp,8,10824,5551,4.808255771343226,3.7187024498805648,4.884470634541359,0.07402233421217563,6.755873315122671e-27,0.5258511979823455,0.830120698973158,0.9547829219960368,True,0.0
F1,B_plus_season,ridge,poss_pbp,8,10824,5551,4.836573100415686,3.6620959908840507,4.793423489165655,0.08147402471536674,1.6821024433191448e-32,0.5478292199603675,0.8308412898576834,0.9463159791028644,False,0.06435012817382812
F1,B_plus_season,glm_gaussian,poss_pbp,8,10824,5551,4.838281233108046,3.6635212460237363,4.793370273947393,0.08181737756773624,9.008055598250069e-33,0.5489101062871554,0.830120698973158,0.946676274545127,False,0.01593470573425293
F1,B_plus_season,lightgbm,poss_pbp,8,10824,5551,4.789721104660517,3.635813900983591,4.667337658278156,0.051560196896432986,2.8919141904675545e-13,0.532696811385336,0.820212574310935,0.9464961268239956,False,11.620539903640747
F1,C_plus_style,multiplicative,poss_pbp,24,10824,5551,4.808255771343226,3.7187024498805648,4.884470634541359,0.07402233421217563,6.755873315122671e-27,0.5258511979823455,0.830120698973158,0.9547829219960368,True,0.0
F1,C_plus_style,ridge,poss_pbp,24,10824,5551,4.796918700945605,3.6326520148447115,4.7807225076124364,0.07306623575869159,3.233165446788436e-26,0.5489101062871554,0.8310214375788146,0.9470365699873896,False,0.11623764038085938
F1,C_plus_style,glm_gaussian,poss_pbp,24,10824,5551,4.798050971690945,3.6335565883358916,4.780667823710467,0.07301757078151311,3.4994471581567944e-26,0.5492704017294181,0.8313817330210773,0.947216717708521,False,0.05090832710266113
F1,C_plus_style,lightgbm,poss_pbp,24,10824,5551,4.777588007469656,3.624546696678506,4.399944193765938,0.029492110152146367,0.00012535660641180282,0.5058548009367682,0.7939110070257611,0.935146820392722,True,19.591516971588135
F1,D_plus_state,multiplicative,poss_pbp,29,10824,5551,4.808255771343226,3.7187024498805648,4.884470634541359,0.07402233421217563,6.755873315122671e-27,0.5258511979823455,0.830120698973158,0.9547829219960368,True,0.002003192901611328
F1,D_plus_state,ridge,poss_pbp,29,10824,5551,4.782732551462824,3.6245479802466414,4.776246502874395,0.0701401369678259,3.4309970236969916e-24,0.5467483336335796,0.8351648351648352,0.9486578994775716,False,0.14330792427062988
F1,D_plus_state,glm_gaussian,poss_pbp,29,10824,5551,4.785726403641217,3.6272390219583137,4.775824077123154,0.07108946360096888,7.714249541582508e-25,0.5467483336335796,0.8344442442803098,0.9490181949198343,False,0.06151080131530762
F1,D_plus_state,lightgbm,poss_pbp,29,10824,5551,4.760152733059125,3.616119236377011,4.5984081927231095,0.03939867960406587,6.354384596190734e-08,0.5269320843091335,0.8130066654656819,0.9436137632858944,True,24.806715488433838
F2,A_tempo,multiplicative,poss_pbp,5,16375,5590,4.880520607466328,3.7023825176549385,4.858245089482102,0.09304282840466638,1.4498078945273238e-42,0.5341681574239714,0.8348837209302326,0.9572450805008944,True,0.0010030269622802734
F2,A_tempo,ridge,poss_pbp,5,16375,5590,4.858693507579343,3.6728670690593206,4.827878117820611,0.06876448553669234,1.9894741265437988e-23,0.535778175313059,0.8409660107334526,0.9584973166368516,False,0.06586933135986328
F2,A_tempo,glm_gaussian,poss_pbp,5,16375,5590,4.858535910069628,3.672613619366071,4.8278617853902555,0.06903150909369915,1.3171511347121795e-23,0.5352415026833631,0.8407871198568873,0.9584973166368516,False,0.015244007110595703
F2,A_tempo,lightgbm,poss_pbp,5,16375,5590,4.865352614423573,3.6766279306262115,4.7565274065905125,0.06443837197709307,1.2687046579877906e-20,0.5316636851520572,0.8314847942754919,0.9561717352415027,False,17.660149097442627
F2,B_plus_season,multiplicative,poss_pbp,8,16375,5590,4.880520607466328,3.7023825176549385,4.858245089482102,0.09304282840466638,1.4498078945273238e-42,0.5341681574239714,0.8348837209302326,0.9572450805008944,True,0.002002239227294922
F2,B_plus_season,ridge,poss_pbp,8,16375,5590,4.8432737721215355,3.6834864178576168,4.77614768850668,0.10101116065929489,4.165992700290663e-50,0.5284436493738819,0.8325581395348837,0.959391771019678,True,0.06722235679626465
F2,B_plus_season,glm_gaussian,poss_pbp,8,16375,5590,4.843933280598755,3.684216270757974,4.775992494779833,0.10190395162802302,5.442831401196145e-51,0.5291592128801431,0.8318425760286225,0.9590339892665474,True,0.02570796012878418
F2,B_plus_season,lightgbm,poss_pbp,8,16375,5590,4.8177006739755335,3.651717271216397,4.672782757694618,0.0894604419948769,2.2310804094791188e-39,0.5254025044722719,0.8314847942754919,0.9531305903398927,True,19.219730138778687
F2,C_plus_style,multiplicative,poss_pbp,24,16375,5590,4.880520607466328,3.7023825176549385,4.858245089482102,0.09304282840466638,1.4498078945273238e-42,0.5341681574239714,0.8348837209302326,0.9572450805008944,True,0.0020046234130859375
F2,C_plus_style,ridge,poss_pbp,24,16375,5590,4.83577146713361,3.6747310436627902,4.760257249789301,0.0994268399287086,1.4754825713004586e-48,0.5280858676207514,0.8338103756708408,0.9579606440071556,True,0.18348360061645508
F2,C_plus_style,glm_gaussian,poss_pbp,24,16375,5590,4.835528041790553,3.6742953812963024,4.760083807364328,0.09987958336301439,5.354803877210012e-49,0.5279069767441861,0.8339892665474061,0.9579606440071556,True,0.06309676170349121
F2,C_plus_style,lightgbm,poss_pbp,24,16375,5590,4.830144924819652,3.676030055883632,4.486551505192877,0.09798867427977742,3.5796942519916046e-47,0.5008944543828264,0.8067978533094812,0.9459749552772808,True,20.836482763290405
F2,D_plus_state,multiplicative,poss_pbp,29,16375,5590,4.880520607466328,3.7023825176549385,4.858245089482102,0.09304282840466638,1.4498078945273238e-42,0.5341681574239714,0.8348837209302326,0.9572450805008944,True,0.002003192901611328
F2,D_plus_state,ridge,poss_pbp,29,16375,5590,4.8206839249242295,3.6567774855844157,4.753972019567376,0.09912330875193065,2.903487858878398e-48,0.5286225402504472,0.8339892665474061,0.9570661896243292,True,0.20383405685424805
F2,D_plus_state,glm_gaussian,poss_pbp,29,16375,5590,4.820382028984774,3.656375848023164,4.753785896974697,0.09906325279976302,3.318791279651103e-48,0.5273703041144902,0.8334525939177102,0.957602862254025,True,0.1291797161102295
F2,D_plus_state,lightgbm,poss_pbp,29,16375,5590,4.818546156816138,3.659917108724884,4.623830774964639,0.09324746729884703,9.450183069089604e-43,0.5164579606440072,0.823076923076923,0.9516994633273703,True,29.09233784675598
