n_team_games,n_nonzero_mean,top5_share,top8_share,lu_top1,lu_top3,lu_top5,n_lineups_mean,late_starter_share_b0,late_slots_b0,late_starter_share_b1,late_slots_b1,late_starter_share_b2,late_slots_b2,foul_trouble_share,foul_trouble_opps,foul4_share,foul4_opps,arm,minutes_mean,minutes_sd_pooled,minutes_sd_within,ks_minutes_d,ks_minutes_p,n_rot_player_games,h2tip_starter_share_b0,h2tip_slots_b0,h2tip_starter_share_b1,h2tip_slots_b1,h2tip_starter_share_b2,h2tip_slots_b2,opentip_starter_share_close,opentip_slots_close,minutes_mae,minutes_mae_seed_sd,change_rate,ks_lineup_top1_d,ks_lineup_top1_p
3200,9.64375,0.7471616372320153,0.9560444632948781,0.2940063410505803,0.542593825154928,0.6894247921096712,14.835625,0.7491099123398517,29660.0,0.7240299967394849,36804.0,0.5222517123287671,23360.0,0.46126304303348564,58652.0,0.5166296260508262,51745.0,ACTUAL,24.551002202336146,9.694627457225026,6.119645538497911,,,23914,0.9677725118483412,6330.0,0.9611413043478261,7360.0,0.9562770562770563,2310.0,0.7822465515578277,414680.0,0.0,,,,
9600,9.128541666666667,0.763025164960239,0.9626417091188549,0.22862038047622657,0.481910842459979,0.6408906404832878,15.514166666666666,0.7254259384131265,88980.0,0.6913849943846684,110412.0,0.46935216894977166,70080.0,0.4626470060763018,328983.0,0.5722077992215437,259231.0,R2_hier_dirichlet,25.363944353597077,10.225758638490882,8.210091084661528,0.07984385859199594,3.4829066723317132e-99,69714,0.7892048446550817,18990.0,0.7977355072463768,22080.0,0.7337662337662337,6930.0,0.5988095238095238,1244040.0,9.793861339411825,0.05984668551697094,0.14370305515874846,0.22729166666666667,3.6054681040770394e-109
9600,8.63625,0.7582588773848067,0.9778157550460715,0.20541554005223028,0.44271495993315163,0.5992284151299422,19.729270833333334,0.6691706001348617,88980.0,0.6518258884903815,110412.0,0.5445576484018265,70080.0,0.43436128875927066,462212.0,0.6665920066243819,294669.0,H1_sub_hazard,25.991303484899092,8.838256534993167,6.604458612547798,0.07962091497738177,2.5246520348795176e-98,68859,0.9389678778304371,18990.0,0.9374094202898551,22080.0,0.9434343434343434,6930.0,0.7434278640558182,1244040.0,8.818855945157209,0.0522560490013355,0.20583229651475354,0.33729166666666677,9.782583130588068e-243
9600,8.630729166666667,0.7565670358260543,0.9776147119700791,0.1981603568652699,0.43330190792864093,0.5905735499248332,19.93145833333333,0.6719082939986514,88980.0,0.6488932362424374,110412.0,0.5471261415525114,70080.0,0.4341100629070818,449234.0,0.6579451268828502,289322.0,H2_sub_hazard_noreset,25.960727710446516,8.796600533519396,6.6114991299055275,0.08011174180183189,1.6092813163235456e-99,68814,0.8548183254344391,18990.0,0.8492753623188406,22080.0,0.8483405483405484,6930.0,0.7450073952606026,1244040.0,8.896735419040311,0.03877121643689493,0.20519407707786125,0.3742708333333334,2.475136280321504e-300
9600,8.503229166666667,0.7457284873666407,0.9770629297571651,0.2196312434177037,0.449241104130932,0.5953183807797281,20.413958333333333,0.679689817936615,88980.0,0.66361627359345,110412.0,0.5517066210045662,70080.0,0.40048127749065626,441741.0,0.5630010411244144,307360.0,H3_sub_hazard_lgbm,25.7548679545619,8.300752399861402,6.253717905641262,0.08125697770071186,1.738510909226741e-102,69105,0.9393891521853607,18990.0,0.941802536231884,22080.0,0.9453102453102453,6930.0,0.7581291598340889,1244040.0,8.67389420100409,0.04463704722142117,0.20504354638035113,0.2653125,4.12802807136883e-149
