n_team_games,n_nonzero_mean,top5_share,top8_share,lu_top1,lu_top3,lu_top5,n_lineups_mean,late_starter_share_b0,late_slots_b0,late_starter_share_b1,late_slots_b1,late_starter_share_b2,late_slots_b2,foul_trouble_share,foul_trouble_opps,foul4_share,foul4_opps,arm,minutes_mean,minutes_sd_pooled,minutes_sd_within,ks_minutes_d,ks_minutes_p,n_rot_player_games,change_rate,ks_lineup_top1_d,ks_lineup_top1_p
3200,9.64375,0.7471616372320153,0.9560444632948781,0.2940063410505803,0.542593825154928,0.6894247921096712,14.835625,0.7491099123398517,29660.0,0.7240299967394849,36804.0,0.5222517123287671,23360.0,0.46126304303348564,58652.0,0.5166296260508262,51745.0,ACTUAL,24.551002202336146,9.694627457225026,6.119645538497911,,,23914,,,
16000,9.0394375,0.7682904839694691,0.9656367563974267,0.2368899502310113,0.49572411423051244,0.6555138777239697,15.006125,0.7280768712070128,148300.0,0.6943006194978807,184020.0,0.47497431506849314,116800.0,0.46479422628268885,540934.0,0.577732420269262,420854.0,R2_hier_dirichlet,25.55278344367427,10.313340726514582,8.286260809290376,0.08831862065552354,5.933187335429561e-135,115702,0.1401783327957237,0.1941875,1.4159541064203227e-88
16000,8.2981875,0.7964573275712935,0.9847278658548013,0.3158648199152934,0.6084772991697462,0.7593296832089768,12.8969375,0.6941631827376938,148300.0,0.6565797195956962,184020.0,0.5910650684931507,116800.0,0.4963969650517204,776290.0,0.81991353485693,467009.0,R5_hybrid,27.057694291842775,10.072625111517949,7.920807194237914,0.1194408950269662,7.732194756066808e-245,110491,0.15763421040505046,0.10468749999999993,6.647181515713974e-26
16000,8.2723125,0.8036416719058049,0.9862680884736653,0.32556914118027136,0.6230044529367844,0.7732066307753803,12.42475,0.6981645313553607,148300.0,0.6599391370503206,184020.0,0.5956061643835616,116800.0,0.4997356230318776,807559.0,0.8336419464447146,481185.0,R8_keep_cell,27.16754567843109,10.358943543816164,8.141783300366347,0.1349106923232063,1.662423777324e-312,110446,0.1547343440394452,0.1334375,7.141754129056262e-42
16000,8.5144375,0.7827889588170638,0.9814422667594026,0.2887965930724534,0.5726344832539915,0.7280155454522703,14.05425,0.7073742414025623,148300.0,0.674863601782415,184020.0,0.5993647260273972,116800.0,0.512523100386434,659621.0,0.7950710227272727,422400.0,R7_keep_logistic,26.283836837180377,9.912370334434582,7.667654089200528,0.07821270018735182,1.4645815644666812e-105,113637,0.1691428966407078,0.03025,0.014867852422786057
