n_team_games,n_nonzero_mean,top5_share,top8_share,lu_top1,lu_top3,lu_top5,n_lineups_mean,late_starter_share_b0,late_slots_b0,late_starter_share_b1,late_slots_b1,late_starter_share_b2,late_slots_b2,foul_trouble_share,foul_trouble_opps,foul4_share,foul4_opps,arm,minutes_mean,minutes_sd_pooled,minutes_sd_within,ks_minutes_d,ks_minutes_p,n_rot_player_games,h2tip_starter_share_b0,h2tip_slots_b0,h2tip_starter_share_b1,h2tip_slots_b1,h2tip_starter_share_b2,h2tip_slots_b2,opentip_starter_share_close,opentip_slots_close,minutes_mae,sub_rate_per_boundary,distinct_lineups_per_game,minutes_mae_seed_sd,change_rate,ks_lineup_top1_d,ks_lineup_top1_p
3200,9.64375,0.7471616372320153,0.9560444632948781,0.2940063410505803,0.542593825154928,0.6894247921096712,14.835625,0.7491099123398517,29660.0,0.7240299967394849,36804.0,0.5222517123287671,23360.0,0.46126304303348564,58652.0,0.5166296260508262,51745.0,ACTUAL,24.551002202336146,9.694627457225026,6.119645538497911,,,23914,0.9677725118483412,6330.0,0.9611413043478261,7360.0,0.9562770562770563,2310.0,0.7822465515578277,414680.0,0.0,0.1509031841850606,14.835625,,,,
9600,9.128541666666667,0.763025164960239,0.9626417091188549,0.22862038047622657,0.481910842459979,0.6408906404832878,15.514166666666666,0.7254259384131265,88980.0,0.6913849943846684,110412.0,0.46935216894977166,70080.0,0.4626470060763018,328983.0,0.5722077992215437,259231.0,R2_hier_dirichlet,25.363944353597077,10.225758638490882,8.210091084661528,0.07984385859199594,3.4829066723317132e-99,69714,0.7892048446550817,18990.0,0.7977355072463768,22080.0,0.7337662337662337,6930.0,0.5988095238095238,1244040.0,9.793861339411825,0.14370305515874846,15.514166666666666,0.05984668551697094,0.14370305515874846,0.22729166666666667,3.6054681040770394e-109
9600,8.935416666666667,0.7596577610494891,0.9696496053071691,0.25678648749405386,0.5357821919805158,0.7042832477864676,14.57125,0.7001461002472466,88980.0,0.688983081549107,110412.0,0.508347602739726,70080.0,0.42121445042275174,392902.0,0.5930918497457167,272924.0,K1_cond_class,25.636174619191774,9.657059418912013,6.877572411689515,0.05888762009376525,4.7860490732277015e-54,69370,0.938493944181148,18990.0,0.9409873188405797,22080.0,0.9455988455988455,6930.0,0.7267282402495097,1244040.0,8.862174893944,0.1553638081194415,14.57125,0.07366926329893791,,0.09895833333333337,6.89286124052423e-21
9600,8.973645833333334,0.7385371853771701,0.9629750844036653,0.2344850831249761,0.5007249999210895,0.6683484378934543,15.854375,0.6018903124297595,88980.0,0.5939064594428142,110412.0,0.5370976027397261,70080.0,0.4018043880608988,349038.0,0.5665587674395263,239112.0,Z1_exit_marg,25.07601030101426,9.01558886307327,6.970000763363222,0.041385997167287525,6.54228701462399e-27,69443,0.9391785150078988,18990.0,0.9408514492753624,22080.0,0.9434343434343434,6930.0,0.7121861033407286,1244040.0,9.313180970454983,0.1559797551572124,15.854375,0.02572531762533043,,0.1981250000000001,7.279463893552862e-83
9600,8.9696875,0.7395701794054982,0.9635205806224981,0.23547359043119337,0.5022562381567219,0.6702475719107376,15.735416666666667,0.60219375140481,88980.0,0.5954425243632938,110412.0,0.5367779680365297,70080.0,0.4067598348331501,356488.0,0.5823448961830163,241290.0,V0_wave_refit,25.090415292519356,9.062564803026625,7.005681339677696,0.04044167180284994,1.025097413013266e-25,69437,0.9387045813586098,18990.0,0.9421648550724637,22080.0,0.9458874458874459,6930.0,0.7139376547377898,1244040.0,9.319801234658721,0.1546334270310124,15.735416666666667,0.05648184781628443,,0.1972916666666667,3.622511587886954e-82
9600,8.9653125,0.7480452970278871,0.9653341365471408,0.27102580727027276,0.5329567636039199,0.6910219145310358,15.7984375,0.6203596313778377,88980.0,0.607064449516357,110412.0,0.5469492009132421,70080.0,0.41068392475182364,401126.0,0.6055709885292061,264585.0,V1_wave_arrival,25.23765836011703,9.353612679696745,7.075932226914866,0.03386407322721599,3.7385369724658164e-18,69383,0.9377040547656661,18990.0,0.9396286231884058,22080.0,0.943001443001443,6930.0,0.7574893090254332,1244040.0,9.14856257147233,0.15582384836336266,15.7984375,0.07280079133238547,,0.04500000000000004,0.00011804666649980867
9600,8.963333333333333,0.7430541217162928,0.9648181631032337,0.23772568208332265,0.5056762073923607,0.6740041652050663,15.664270833333333,0.614108788491796,88980.0,0.6068706300039851,110412.0,0.5513698630136986,70080.0,0.40764258863617925,369770.0,0.5733970510919121,254874.0,V2_wave_size,25.166930283255784,9.165706452482828,6.988641397541176,0.03832697360445006,3.872691543619285e-23,69419,0.9403896787783044,18990.0,0.9413496376811594,22080.0,0.9447330447330448,6930.0,0.7161594482492525,1244040.0,9.23612116228418,0.1558491928175353,15.664270833333333,0.030261862566603,,0.1814583333333334,1.6876886480591056e-69
9600,8.952604166666667,0.753398286648184,0.9671742749392482,0.276573637869085,0.5405819157769765,0.6983619727220779,15.558125,0.6314542593841312,88980.0,0.6196971343694526,110412.0,0.5624971461187215,70080.0,0.41710202753777115,418044.0,0.617250811295122,274561.0,V3_wave_both,25.358100977480465,9.514692664657156,7.089020554848083,0.03631414816908396,8.236252937812347e-21,69362,0.9378620326487626,18990.0,0.9394021739130435,22080.0,0.9428571428571428,6930.0,0.7621346580495804,1244040.0,9.099958852195028,0.15502588206380657,15.558125,0.03027388548035385,,0.0279166666666667,0.047021359575561625
9600,8.958645833333334,0.7449154230758667,0.965159036796947,0.2496876793311905,0.5164899617122266,0.6812931973476456,15.650208333333333,0.608500786693639,88980.0,0.5982520015940296,110412.0,0.5394977168949772,70080.0,0.4089160074627831,386451.0,0.5792279932737544,264635.0,V4_wave_both_lvl,25.204581580514414,9.248167876993818,7.035007087023174,0.036825523359047097,2.157730943334829e-21,69412,0.9388625592417061,18990.0,0.9408967391304348,22080.0,0.9451659451659452,6930.0,0.7473787016494646,1244040.0,9.2011644271906,0.15484079074697019,15.650208333333333,0.0540453770689549,,0.12822916666666673,8.06662138865779e-35
9600,8.8871875,0.7600503789397806,0.9719810920371519,0.2712592258281235,0.5355155187911634,0.6945939592902091,15.606979166666667,0.6438660373117554,88980.0,0.6326776075064304,110412.0,0.5827597031963471,70080.0,0.4190074959847019,437701.0,0.6270149421098371,285368.0,V5_wave_entry,25.551891220519636,9.64452220621847,7.077249166217873,0.046647723417408415,4.7411485568457895e-34,69241,0.9365982095839915,18990.0,0.9408514492753624,22080.0,0.9427128427128427,6930.0,0.7671087746374715,1244040.0,9.062887460120914,0.15570634225765326,15.606979166666667,0.04588866797692639,,0.04041666666666671,0.0007749731844074653
