arm,tempo_quintile,n_games,ratio,ratio_se,ratio_lo,ratio_hi,band_exceed_se,needed_tau2,produced_between,between_ratio,within_ratio
B1,Q1,399,1.0402494625392464,0.038755039461847836,0.9714004460853857,1.1263378681203449,0.0,0.6247698785285141,0.7242003341700749,1.1591473261735088,1.0067177653127524
B1,Q2,398,1.1737726345651072,0.04324104432298053,1.093753513442918,1.260363253573987,0.5497701301463074,0.36127611279841587,0.7254364864463244,2.0079835359917695,1.0067247597139388
B1,Q3,398,1.0723351049800895,0.0380164109297225,1.0086792540528509,1.1549502915843453,0.0,0.5011177338431531,0.6593251365159942,1.3157090479706695,1.0064835076306806
B1,Q4,398,1.002090532030445,0.02950050713602119,0.947302900698412,1.0647406371839943,0.0,0.6360203009688296,0.6374496029832257,1.0022472584793582,1.0063900681707185
B1,Q5,398,0.9241610833642188,0.030126125989036304,0.8711110166007985,0.9869470810507405,0.0,0.8023759834268129,0.6046795291923197,0.7536112018331296,1.00626267094061
C1,Q1,399,1.0374918377576585,0.03857974088312156,0.9692814932199294,1.1236892677770156,0.0,0.6247698785285141,0.7170460229589933,1.1476962120001883,1.0065887529653943
C1,Q2,398,1.1686780742767047,0.04295014679586836,1.0881941156992427,1.254988901731756,0.4348780078791609,0.36127611279841587,0.7139280352811594,1.9761285343532125,1.0065184622421686
C1,Q3,398,1.068607478965675,0.037976642314781935,1.0042851253798726,1.1521779889888937,0.0,0.5011177338431531,0.6507634417369393,1.2986238518164765,1.0063781275649235
C1,Q4,398,1.0017921315254237,0.02941828131464512,0.9464809534366125,1.0656853728507343,0.0,0.6360203009688296,0.6367285676346894,1.0011135912875437,1.0064014645417685
C1,Q5,398,0.9256038870811198,0.030124773347471625,0.8735160430819174,0.9890574880576962,0.0,0.8023759834268129,0.608193043819488,0.7579900899102161,1.006341007388226
C2,Q1,399,1.022234417792035,0.03816691405559488,0.9536897022640342,1.1067853095725957,0.0,0.6247698785285141,0.6777458549151011,1.0847927824423265,1.0059750159959622
C2,Q2,398,1.147615468973427,0.04227094381508779,1.0699083906566518,1.233819567701284,0.0,0.36127611279841587,0.666823649334899,1.8457451951908372,1.0057662165011516
C2,Q3,398,1.0455741792528688,0.037245705111972664,0.9831071960476454,1.1267332139899249,0.0,0.5011177338431531,0.5986622419213524,1.1946538737117018,1.0054918614614436
C2,Q4,398,0.9757912996944504,0.028687270539983697,0.9218730335920989,1.0385178717407182,0.0,0.6360203009688296,0.5758283111626794,0.9053615274316533,1.0054107769223113
C2,Q5,398,0.8926437494670241,0.029039913631093022,0.8417331201464024,0.9523741443334152,0.0,0.8023759834268129,0.529012586726626,0.6593076034844689,1.0051172718602355
C4,Q1,399,1.0608190253903662,0.03886551217133456,0.990978257708605,1.1459921565402553,0.0,0.6247698785285141,0.7785104513127821,1.24607552007207,1.0071490563023546
C4,Q2,398,1.1390537550496398,0.0419543673598834,1.0613978053643875,1.2229101050871705,0.0,0.36127611279841587,0.6476277505390358,1.7926115998164478,1.0059424007709366
C4,Q3,398,1.0381312713806787,0.036795383399427097,0.9764646194692664,1.1180815632515106,0.0,0.5011177338431531,0.5817671154438221,1.1609389892913107,1.0057308855100524
C4,Q4,398,0.9902553653744611,0.029105347023061872,0.9366574480479698,1.052237045628258,0.0,0.6360203009688296,0.6094270652289263,0.9581880708848529,1.006105251092018
C4,Q5,398,0.978689800313201,0.03165615708732528,0.9247896495357686,1.0454433509039391,0.0,0.8023759834268129,0.7420757358572009,0.924847890745583,1.0078034117811097
