arm,crps_trunc,censored_loglik,pit_worst_D,pit_leak_cells,n_powered_cells,secs
R,4.927456865258879,-3.519192234062767,0.4306159724361601,20,38,1.7
B1,4.9275954160515925,-3.506979198406781,0.43066178373762465,20,38,2.7
C1,4.927592512165725,-3.507342197884489,0.4305950608662348,20,38,4.3
C2,4.927576304240542,-3.507414303828221,0.43066178373762465,20,38,4.1
C4,4.927590257815213,-3.5071760501209996,0.43039530954342253,20,38,4.4
