arm,P_sd_produced,P_sd_needed,ratio,sigma2_mean,sigma2_sd,E_min_TR,E_min_gap_s,implied_poss_delta,within_ratio,between_ratio
B1,4.319399032780954,4.279450897596056,1.0093348740623096,0.0022116420637355648,0.0,17.527509275899707,-0.12512813954405289,0.48529568171065307,1.0065275678403696,1.029730252589973
C1,4.310924337170554,4.279450897596056,1.0073545509289936,0.002220011863465041,0.00015613238152110994,17.526627854583207,-0.12600956086055248,0.48873875466129846,1.0064514684524846,1.0222212971870146
C2,4.213111277808727,4.279450897596056,0.984498100019188,0.0020404231667477146,0.0002209173838240879,17.52166107491902,-0.1309763405247395,0.508146831349805,1.005571874856235,0.9366327981381009
C4,4.322304604019914,4.279450897596056,1.0100138329541135,0.0022613736025949016,0.0003910593440937723,17.52667262254003,-0.12596479290372997,0.48856387041887217,1.0065332587057099,1.032326447883481
