feature,bucket,n_games,feat_mean,needed_var,iid_floor,needed_tau2,needed_tau2_se,mean_s2_hat,mbar2,implied_cv_pct
asof_sd,B1,178,3.041328372595954,1.106780685432872,0.6025766972430088,0.5042039881898631,0.10018429593735981,0.0015715519510046093,318.2647569564859,3.980236366537736
asof_sd,B2,177,3.712011513391156,1.3068052783999786,0.6017213985058547,0.7050838798941239,0.12248378665080968,0.0023774671135258834,315.46904537352697,4.727614075842572
asof_sd,B3,177,4.18288820102791,1.1230268260663883,0.5901685342747154,0.5328582917916729,0.16324147104144193,0.0017815769187781124,313.47822820467644,4.122894030271309
asof_sd,B4,177,4.661441305817803,1.1903765495054635,0.5898158431243955,0.600560706381068,0.12910652404365375,0.0019650406031294886,311.8798565963137,4.388183639446118
asof_sd,B5,177,5.489620793308279,1.213768430615436,0.5835310924392165,0.6302373381762194,0.14716853831214022,0.002090372389606432,306.22918157402154,4.536582130514773
tempo,B1,178,63.41831970214844,1.216281783303911,0.6439914893724723,0.5722902939314387,0.14800648304158678,0.002805976594471407,332.84585007749274,4.1465472342273
tempo,B2,177,66.05753326416016,0.8859076244173776,0.6207577575109152,0.26514986690646236,0.08861706686476191,0.0008450963318435542,333.8372735532378,2.818242074265021
tempo,B3,177,67.70386505126953,0.9696046794027751,0.5984356310381033,0.3711690483646718,0.10828698661140762,0.00119550331999478,319.6419329763474,3.407642315116874
tempo,B4,177,69.46007537841797,1.1387205729102023,0.5676683153014777,0.5710522576087247,0.11145423805122956,0.0019233617491100467,300.4254606449126,4.359830031085676
tempo,B5,177,72.30538177490234,1.3734472895517542,0.5367263904877848,0.8367208990639694,0.13450013677042155,0.003009096830096676,278.48817239585316,5.481342387693689
asof_mean,B1,178,65.18334778586143,1.3439543166638745,0.6341743703573666,0.709779946306508,0.16750385834116055,0.002624832279497794,331.0253173004723,4.630535917050348
asof_mean,B2,177,66.89412215470915,1.1825010975325012,0.6173723080149889,0.5651287895175123,0.11410296119691314,0.0017538544952172873,329.4482266944094,4.1417142192023295
asof_mean,B3,177,68.0524644493924,0.9520220589167219,0.5969842597118545,0.35503779920486733,0.10289410742722954,0.0011415484120530746,316.0992517186206,3.3513945765625253
asof_mean,B4,177,69.20423356968719,1.015952833282748,0.572849504044458,0.4431033292382901,0.0962671563597777,0.0015217603908073752,301.2832719623633,3.834996721063264
asof_mean,B5,177,71.069084793848,1.2973598345547366,0.5462546055313231,0.7511052290234135,0.1322464377019622,0.0027380626621498227,287.3929074678934,5.112253367866997
