arm,bucket,n_games,mean_tempo,P_sd_needed,P_sd_produced,needed,needed_floor,needed_tau2,produced,produced_within,produced_between,ratio,within_ratio,between_ratio,ratio_se,ratio_lo,ratio_hi,needed_se,needed_lo,needed_hi,produced_se,produced_lo,produced_hi,needed_tau2_se,needed_tau2_lo,needed_tau2_hi,produced_between_se,produced_between_lo,produced_between_hi,within_ratio_se,within_ratio_lo,within_ratio_hi,between_ratio_se,between_ratio_lo,between_ratio_hi
R,ALL,1991,68.50402069091797,4.279450897596056,2.9429903117703975,1.2349411147055491,0.5840470293441206,0.6508940853614286,0.5840470293440934,0.5840470293441206,-2.7161480751231394e-14,0.6877027876224953,1.0,-4.1729493879406144e-14,0.010895797861574226,0.6670500176514813,0.7101186504884679,0.039128828249762,1.1586806659581887,1.312637671450484,0.0012356555758554926,0.5815868348524159,0.5864056929224941,0.03907285693259501,0.5745509437866883,0.7281426054613398,1.5390415707338913e-15,-3.013155548818046e-14,-2.408757964759461e-14,1.8274401423722155e-16,1.0,1.0000000000000004,3.518231452747562e-15,-4.9207787232104336e-14,-3.562771256173943e-14
R,Q1,399,64.08596801757812,4.327833010868682,3.0765309136015766,1.2630226673587617,0.6382527888302476,0.6247698785285141,0.6382527888302173,0.6382527888302476,-3.030462532526367e-14,0.7108709845956037,1.0,-4.850525988326851e-14,0.02705691439191752,0.663859932241691,0.7711009382307247,0.09529009021056062,1.0718846254093186,1.4507947001343435,0.002020756189660112,0.6343037047112519,0.6422275380043315,0.0950305528423338,0.43472189506084424,0.8114742335101756,3.877834580111722e-15,-3.825155427785377e-14,-2.3011182804452542e-14,1.8950231331287622e-16,1.0,1.0000000000000004,1.0541490262825447e-14,-7.460390209984472e-14,-3.297199447893445e-14
R,Q2,398,66.81706237792969,3.8024240952461867,3.0167604673078885,0.9749700192190889,0.613693906420673,0.36127611279841587,0.6136939064206469,0.613693906420673,-2.6143424457846247e-14,0.7933782218241937,1.0,-7.236411025168914e-14,0.028622879260447112,0.7430207522692271,0.8539486003371022,0.07022035289517674,0.8417423228789787,1.1107732840132831,0.0019373929674211972,0.6098564834240038,0.6174828785701988,0.06996419896274551,0.2278523650840088,0.4980496182826262,3.771854254981864e-15,-3.341996849220161e-14,-1.8973408200257458e-14,1.7537474604716284e-16,1.0,1.0000000000000004,2.0040058095905318e-14,-1.2331722808501494e-13,-4.586103452260463e-14
R,Q3,398,68.47164154052734,4.0028474263961815,2.9311098548926493,1.0804588420520405,0.5793411082088874,0.5011177338431531,0.5793411082088584,0.5793411082088874,-2.8928998440230713e-14,0.7322562023133536,1.0,-5.77289456878118e-14,0.02591075575162005,0.6868207621682082,0.7878924354725939,0.07608794784033814,0.93604829616676,1.2305368716884815,0.0019375914685471438,0.5755094166723302,0.5831344206498966,0.07576423695992339,0.3552002416404915,0.6514650854490244,3.256257821169742e-15,-3.5691785001130473e-14,-2.252255223501796e-14,1.686352970850292e-16,1.0,1.0000000000000004,1.2031576372452711e-14,-8.853725543302431e-14,-4.079454659940287e-14
R,Q4,398,70.1772232055664,4.209976525210128,2.8795775408228583,1.195169503387041,0.5591492024182115,0.6360203009688296,0.5591492024181846,0.5591492024182116,-2.7045850721460113e-14,0.6839889779858412,1.0000000000000002,-4.252356517592603e-14,0.02085029772688647,0.6456577634089085,0.7295949124952583,0.07281259328513079,1.0499852313609432,1.3413087769357808,0.0018896353483271694,0.5553740212571642,0.5630023996227087,0.0725609666850347,0.4896531066444928,0.7821631729830492,3.2346427837870687e-15,-3.3154055526438706e-14,-2.0329340124830955e-14,1.5853345349979253e-16,1.0,1.0000000000000004,7.489012180430598e-15,-6.066236310282163e-14,-3.017207279024263e-14
R,Q5,398,72.97928619384766,4.444503150561154,2.8026205908955806,1.3320379288938036,0.5296619454669906,0.8023759834268129,0.5296619454669672,0.5296619454669906,-2.3376607463180257e-14,0.6305813036810938,1.0,-2.91342312656751e-14,0.02110146842221268,0.5928637494381479,0.6744406343287851,0.08809370759442105,1.165453655265233,1.5084177658056253,0.0019290716146851909,0.5259404202726607,0.5336213905973364,0.08807762424833894,0.635272078672884,0.9791880045124752,3.2195423919344942e-15,-2.947700548017007e-14,-1.694207457070977e-14,1.6627870546154896e-16,1.0,1.0000000000000004,5.363328827810979e-15,-4.107264727450926e-14,-2.0157998512651013e-14
A1,ALL,1991,68.50402069091797,4.279450897596056,4.297949548149347,1.2349411147055491,0.5840470293441206,0.6508940853614286,1.245640673980093,0.5860187479147846,0.6596219260653085,1.004322669191901,1.0033759585642927,1.0134090029394467,0.015952242232042,0.9744001825950398,1.0369854341261793,0.039128828249762,1.1586806659581887,1.312637671450484,0.00237077789244844,1.2411216860853826,1.2501876052358274,0.03907285693259501,0.5745509437866883,0.7281426054613398,0.0013180303318114303,0.6570815374751374,0.662114632569435,1.1931155770382714e-06,1.00337353017256,1.0033782513882235,0.0618073190216776,0.9061586671146935,1.1484214488998206
A1,Q1,399,64.08596801757812,4.327833010868682,4.48053718551803,1.2630226673587617,0.6382527888302476,0.6247698785285141,1.3537246171984183,0.640388356092573,0.7133362611058454,1.0352842113514673,1.0033459583721356,1.1417584067687878,0.039538644545242564,0.9663033405687921,1.1230280722366417,0.09529009021056062,1.0718846254093186,1.4507947001343435,0.003010755280576136,1.347971172616924,1.3596386969003682,0.0950305528423338,0.43472189506084424,0.8114742335101756,0.0016724188739221208,0.7101066262872578,0.7164913208344944,2.292069005736024e-06,1.0033413202410397,1.0033505876362534,0.19185734650906114,0.87897911021878,1.639155658375232
A1,Q2,398,66.81706237792969,3.8024240952461867,4.441659879513982,0.9749700192190889,0.613693906420673,0.36127611279841587,1.3303341913491118,0.6157487600863863,0.7145854312627254,1.1681127008076166,1.0033483364332199,1.9779481840844773,0.042278098718495874,1.0936650235294316,1.2573795438615523,0.07022035289517674,0.8417423228789787,1.1107732840132831,0.003209321239228139,1.3239956306936314,1.3365008995691505,0.06996419896274551,0.2278523650840088,0.4980496182826262,0.0018972507311381674,0.7110026379285285,0.7184284576389521,2.132921159722253e-06,1.0033439366849846,1.0033525462646242,0.4451704291235802,1.4335167543258949,3.1339728313147783
A1,Q3,398,68.47164154052734,4.0028474263961815,4.271133474870109,1.0804588420520405,0.5793411082088874,0.5011177338431531,1.2301453846880097,0.5813024054090221,0.6488429792789877,1.0670238007836008,1.0033853927717962,1.2947914940126062,0.03788943615047828,1.0001524988589603,1.1472866182860566,0.07608794784033814,0.93604829616676,1.2305368716884815,0.003018457931347978,1.2240858095743938,1.2357843908890727,0.07576423695992339,0.3552002416404915,0.6514650854490244,0.0017032975186141094,0.6453368967867958,0.6521276939765174,2.4720652697940037e-06,1.0033805314013624,1.0033901204763942,0.21675709807376348,0.9975750686666388,1.8294710635940692
