season,tempo_quintile,n_games,raw_poss_sd,raw_poss_sd_se,mean_tempo,mean_poss
2022,Q1,291,4.31611153045002,0.19702637515318422,64.85711669921875,64.50687285223368
2022,Q2,290,4.108018318671404,0.16223710442969647,67.4815673828125,67.00689655172414
2022,Q3,290,4.258912456848705,0.17369384582632524,68.95977783203125,68.2551724137931
2022,Q4,290,4.450476934721971,0.2022858644372244,70.3695297241211,69.72586206896551
2022,Q5,290,5.1174330756919035,0.2166449936184278,72.62387084960938,72.23448275862069
2023,Q1,303,3.5860587927326026,0.14375767617936208,63.98084259033203,63.960396039603964
2023,Q2,303,4.163441878579882,0.21109760485110785,66.69564056396484,66.31188118811882
2023,Q3,302,4.481911317255527,0.1908076926787896,68.42860412597656,68.13576158940397
2023,Q4,303,4.139921022534742,0.1836439529195916,70.33926391601562,69.86963696369637
2023,Q5,303,4.442636519734549,0.18782974510103687,73.15435791015625,72.64851485148515
2024,Q1,352,4.118060152728176,0.15375386096475216,64.55376434326172,64.43181818181819
2024,Q2,351,4.401492724638658,0.18321830954358131,67.21503448486328,67.05413105413105
2024,Q3,352,4.221978744190903,0.1603942906842558,69.03412628173828,68.52982954545455
2024,Q4,351,4.420206114238695,0.19520210654601586,70.77001953125,69.75783475783476
2024,Q5,352,4.685991492807169,0.17326994644551624,73.59740447998047,72.64204545454545
2025,Q1,399,3.784043695543446,0.1433212395347932,64.08596801757812,63.709273182957396
2025,Q2,398,3.8129804670917435,0.12874519675081741,66.81706237792969,66.28266331658291
2025,Q3,398,4.04429141952372,0.1379400057137941,68.47164154052734,67.81281407035176
2025,Q4,398,4.327472793941457,0.13625157959008388,70.1772232055664,69.60804020100502
2025,Q5,398,5.086011794305917,0.1963339511243764,72.97928619384766,72.28894472361809
