arm,decile,n_games,mean_tempo,needed,needed_floor,needed_tau2,produced,produced_within,produced_between,ratio,within_ratio,between_ratio,ratio_se
R,D1,200,62.953163146972656,1.290958804664014,0.647957861959688,0.643000942704326,0.6479578619596655,0.6479578619596882,-2.2701707045802712e-14,0.7084630262613096,1.0000000000000004,-3.530586899347944e-14,0.03461564634118228
R,D10,199,74.10045623779297,1.3117462888676619,0.5215588537060953,0.7901874351615665,0.5215588537060716,0.5215588537060953,-2.379794044110994e-14,0.630560466737227,1.0,-3.01168297319788e-14,0.03253721376538373
R,D2,199,65.2244644165039,0.9727706155744891,0.6284989464891013,0.34427166908538775,0.6284989464890633,0.6284989464891013,-3.7945749224219406e-14,0.803798248122295,1.0,-1.1022036557648877e-13,0.03899444071074278
R,D3,199,66.37348937988281,1.0001164408161782,0.6163475051228435,0.3837689356933347,0.6163475051228159,0.6163475051228436,-2.77967589948943e-14,0.7850323212913098,1.0000000000000002,-7.243097710520887e-14,0.04024521793614928
R,D4,199,67.26063537597656,0.9245378696611282,0.6110403077185024,0.3134975619426258,0.611040307718478,0.6110403077185025,-2.4490089920798202e-14,0.8129663643002404,1.0000000000000002,-7.811891668006086e-14,0.042570424574460225
R,D5,200,68.0779037475586,1.0843890306355162,0.585436382756449,0.4989526478790671,0.5854363827564169,0.5854363827564492,-3.2288602032400183e-14,0.7347630301635001,1.0000000000000002,-6.471275815380798e-14,0.03533521927977086
R,D6,198,68.86936950683594,1.0546084534564473,0.5731842652315523,0.48142418822489497,0.5731842652315268,0.5731842652315523,-2.553545945824134e-14,0.7372274642872972,1.0,-5.3041496631890405e-14,0.037270959044507085
R,D7,199,69.73121643066406,1.06573581215945,0.5639235741498332,0.5018122380096168,0.5639235741497988,0.5639235741498333,-3.4558553060419616e-14,0.7274201802953026,1.0000000000000002,-6.886749752754601e-14,0.03063197677518004
R,D8,199,70.62322998046875,1.191464386346243,0.55437483068659,0.6370895556596531,0.5543748306865705,0.55437483068659,-1.953314838250061e-14,0.6821206849843401,1.0,-3.0659972697677746e-14,0.029443384586478067
R,D9,199,71.85811614990234,1.229393802266529,0.5377650372278857,0.6916287650386432,0.5377650372278627,0.5377650372278857,-2.2955274485250576e-14,0.6613795645981383,1.0,-3.3190167392716816e-14,0.027843130496026148
A1,D1,200,62.953163146972656,1.290958804664014,0.647957861959688,0.643000942704326,1.3593277975514044,0.6501237985025213,0.709203999048883,1.0261383222450633,1.0033427120342095,1.1029595012195799,0.05039819893403061
A1,D10,199,74.10045623779297,1.3117462888676619,0.5215588537060953,0.7901874351615665,1.1175809363820908,0.5233409034224262,0.5942400329596645,0.923027351525602,1.0034167758895627,0.7520241483441996,0.04774670484019483
A1,D2,199,65.2244644165039,0.9727706155744891,0.6284989464891013,0.34427166908538775,1.3480932801602417,0.6306039918614693,0.7174892882987722,1.1772121891035727,1.0033493220380514,2.084078803826339,0.05688537029887526
A1,D3,199,66.37348937988281,1.0001164408161782,0.6163475051228435,0.3837689356933347,1.330821620911047,0.618409922728428,0.7124116981826191,1.153545264390226,1.0033461928351173,1.8563558222750447,0.05927065885460015
A1,D4,199,67.26063537597656,0.9245378696611282,0.6110403077185024,0.3134975619426258,1.3298467617871768,0.6130875974443448,0.7167591643428318,1.1993293106871965,1.003350498649568,2.286330904461733,0.06291236223297153
A1,D5,200,68.0779037475586,1.0843890306355162,0.585436382756449,0.4989526478790671,1.2387523602242496,0.5874160413154221,0.6513363189088275,1.0688079847156562,1.0033815092762977,1.3054070795645805,0.05158479547487464
A1,D6,198,68.86936950683594,1.0546084534564473,0.5731842652315523,0.48142418822489497,1.2214514700049395,0.5751270156045779,0.6463244544003616,1.0761987521831615,1.0033893993448002,1.3425259266334044,0.05462560098902166
A1,D7,199,69.73121643066406,1.06573581215945,0.5639235741498332,0.5018122380096168,1.2107554005136811,0.5658324479204889,0.6449229525931922,1.0658680092510846,1.0033849866509545,1.285187772923212,0.04516542966291369
A1,D8,199,70.62322998046875,1.191464386346243,0.55437483068659,0.6370895556596531,1.1653057149287476,0.5562623934854841,0.6090433214432635,0.9889615465550291,1.0034048493806191,0.9559775639590417,0.04268320543571298
A1,D9,199,71.85811614990234,1.229393802266529,0.5377650372278857,0.6916287650386432,1.1338131661122737,0.539599477032037,0.5942136890802368,0.9603404859885114,1.0034112292119393,0.8591512081586664,0.04037351862618405
B1,D1,200,62.953163146972656,1.290958804664014,0.647957861959688,0.643000942704326,1.3723461292597925,0.6523050585716342,0.7200410706881584,1.0310402956159417,1.0067090730233577,1.1198133981885283,0.050639042231013724
B1,D10,199,74.10045623779297,1.3117462888676619,0.5215588537060953,0.7901874351615665,1.1295152176923424,0.5248261009559474,0.604689116736395,0.9279426178447171,1.0062643884321696,0.7652476992534772,0.048000818523903
B1,D2,199,65.2244644165039,0.9727706155744891,0.6284989464891013,0.34427166908538775,1.3611072139243874,0.6327267154508788,0.7283804984735086,1.1828807008647966,1.0067267717557753,2.115714314827493,0.05715871054204935
B1,D3,199,66.37348937988281,1.0001164408161782,0.6163475051228435,0.3837689356933347,1.3437560210862118,0.6204895786915061,0.7232664423947058,1.1591374255262048,1.0067203542388592,1.8846404050083398,0.05956087811990762
B1,D4,199,67.26063537597656,0.9245378696611282,0.6110403077185024,0.3134975619426258,1.3427586527649578,0.615152122267015,0.7276065304979428,1.205137574652153,1.0067292034528217,2.3209320225307026,0.06321823885787893
B1,D5,200,68.0779037475586,1.0843890306355162,0.585436382756449,0.4989526478790671,1.2510859941045671,0.5892386526809859,0.6618473414235813,1.0741155977562844,1.0064947619186808,1.3264732519948375,0.051840313071805665
B1,D6,198,68.86936950683594,1.0546084534564473,0.5731842652315523,0.48142418822489497,1.2336713093582499,0.5768938545670912,0.6567774547911588,1.0815686943884497,1.0064718966666684,1.3642385880377668,0.05489865779929798
B1,D7,199,69.73121643066406,1.06573581215945,0.5639235741498332,0.5018122380096168,1.2229481999367828,0.5675686118648924,0.6553795880718906,1.0712214274643397,1.0064637087047734,1.3060255179733793,0.045392815796094756
B1,D8,199,70.62322998046875,1.191464386346243,0.55437483068659,0.6370895556596531,1.1773954139082021,0.557875796013641,0.6195196178945611,0.994078399776561,1.0063151592266826,0.9724215573634702,0.042903789498301946
B1,D9,199,71.85811614990234,1.229393802266529,0.5377650372278857,0.6916287650386432,1.1458019285747245,0.5411319869264801,0.6046699416482444,0.9654043797690418,1.0062610052076844,0.874269510196644,0.04058574342064074
B3,D1,200,62.953163146972656,1.290958804664014,0.647957861959688,0.643000942704326,1.2596103161435193,0.6513414616606599,0.6082688544828594,0.9877838299724762,1.0052219440485506,0.9459843898900199,0.048778415731336885
B3,D10,199,74.10045623779297,1.3117462888676619,0.5215588537060953,0.7901874351615665,1.223000117620482,0.5255646754892013,0.6974354421312807,0.9655801459433241,1.0076804789232152,0.8826202633666009,0.04994287377737443
B3,D2,199,65.2244644165039,0.9727706155744891,0.6284989464891013,0.34427166908538775,1.2848553299637002,0.6322826913486241,0.652572638615076,1.1492695323425521,1.0060202883086113,1.8955165272493626,0.055487649279442997
B3,D3,199,66.37348937988281,1.0001164408161782,0.6163475051228435,0.3837689356933347,1.300518723116531,0.6201499343284623,0.6803687887880686,1.140336488623397,1.0061692943899576,1.7728605040918253,0.05858649536028611
B3,D4,199,67.26063537597656,0.9245378696611282,0.6110403077185024,0.3134975619426258,1.3146562623195435,0.6149218293626754,0.6997344329568681,1.19245982123836,1.0063523168523298,2.232025118858592,0.06257005593671555
B3,D5,200,68.0779037475586,1.0843890306355162,0.585436382756449,0.4989526478790671,1.2532706556672282,0.5892495289194535,0.6640211267477746,1.0750530055598047,1.0065133399209847,1.330829948634155,0.05189555807200958
B3,D6,198,68.86936950683594,1.0546084534564473,0.5731842652315523,0.48142418822489497,1.2453275256340393,0.5768959231340831,0.6684316024999561,1.0866662270124552,1.006475505570676,1.3884462369134256,0.05515421668714187
