arm,cell,n,ks_D,ks_p,powered,leak_sized
lgbm_quantile,DREB | 0-34,6552,0.033666768805726055,6.908863552960745e-07,True,False
lgbm_quantile,DREB | 120-299,39095,0.04319359400061373,8.10140147580919e-64,True,False
lgbm_quantile,DREB | 300-599,64535,0.04081212395206446,7.746376566933913e-94,True,False
lgbm_quantile,DREB | 35-119,19776,0.04175628331865777,2.126583247628608e-30,True,False
lgbm_quantile,DREB | 600+,125715,0.03976365314366259,3.7684979955914685e-173,True,False
lgbm_quantile,TOV | 0-34,2984,0.02561785649086968,0.039129918079598314,True,False
lgbm_quantile,TOV | 120-299,18055,0.04293041685829779,2.3667955458110177e-29,True,False
lgbm_quantile,TOV | 300-599,30745,0.039946108814106984,4.592718626405346e-43,True,False
lgbm_quantile,TOV | 35-119,9196,0.03998756747930654,3.2590114057318066e-13,True,False
lgbm_quantile,TOV | 600+,63019,0.041799207946570105,4.130272220086399e-96,True,False
lgbm_quantile,made_FG | 0-34,5322,0.032169707489636185,3.2129035757588666e-05,True,False
lgbm_quantile,made_FG | 120-299,40350,0.045685922811487645,1.2671520818765744e-73,True,False
lgbm_quantile,made_FG | 300-599,67288,0.04627162540205276,1.237856405676257e-125,True,False
lgbm_quantile,made_FG | 35-119,19323,0.04539657482670223,4.826749486092175e-35,True,False
lgbm_quantile,made_FG | 600+,137113,0.0456571960372969,8.135918733599042e-249,True,False
lgbm_quantile,made_FT | 0-34,4977,0.04287608939133547,2.180461902037454e-08,True,False
lgbm_quantile,made_FT | 120-299,12683,0.046337426865335485,4.197239400342821e-24,True,False
lgbm_quantile,made_FT | 300-599,16571,0.04673547493969854,6.831723524217211e-32,True,False
lgbm_quantile,made_FT | 35-119,8641,0.04803100486411915,9.19824812499499e-18,True,False
lgbm_quantile,made_FT | 600+,23057,0.04779084682534129,3.3364542440646642e-46,True,False
lgbm_quantile,other | 0-34,422,0.1616435421513132,4.219571636423642e-10,True,True
lgbm_quantile,other | 120-299,548,0.08394160583941601,0.0008296151123908213,True,True
lgbm_quantile,other | 300-599,830,0.07268584972848402,0.00029353264893247107,True,True
lgbm_quantile,other | 35-119,352,0.17905496008107036,2.4076147764431424e-10,True,True
lgbm_quantile,other | 600+,1365,0.07179487179487176,1.455078241815095e-06,True,True
lgbm_quantile,period_start | 300-599,356,0.14071269899695754,1.3006356644496272e-06,True,True
lgbm_quantile,period_start | 600+,10637,0.044646905571677054,7.301766828601625e-19,True,False
