arm,cell,n,ks_D,ks_p,powered,leak_sized
gamma,DREB | 0-34,6552,0.13357565269693406,2.07877189704717e-102,True,True
gamma,DREB | 120-299,39095,0.0693175475952793,8.792442223220237e-164,True,True
gamma,DREB | 300-599,64535,0.039813630017941026,2.5424797621219653e-89,True,False
gamma,DREB | 35-119,19776,0.07378706423598425,4.4189910573235347e-94,True,True
gamma,DREB | 600+,125715,0.026656708529967377,4.893685546202389e-78,True,False
gamma,TOV | 0-34,2984,0.07477315894926811,5.904178375431755e-15,True,True
gamma,TOV | 120-299,18055,0.04098361834932074,8.682264329126754e-27,True,False
gamma,TOV | 300-599,30745,0.044693137632530855,8.367919254474286e-54,True,False
gamma,TOV | 35-119,9196,0.031426386945590856,2.522006107582466e-08,True,False
gamma,TOV | 600+,63019,0.039299167810860736,5.282005994319398e-85,True,False
gamma,made_FG | 0-34,5322,0.12326748660300335,6.1478712992699076e-71,True,True
gamma,made_FG | 120-299,40350,0.09913056113397811,0.0,True,True
gamma,made_FG | 300-599,67288,0.09859083377215905,0.0,True,True
gamma,made_FG | 35-119,19323,0.07519472964925344,1.8250258436692093e-95,True,True
gamma,made_FG | 600+,137113,0.08570758128526693,0.0,True,True
gamma,made_FT | 0-34,4977,0.08911927707932976,7.616915679593487e-35,True,True
gamma,made_FT | 120-299,12683,0.09990082142369305,1.2136040051879127e-110,True,True
gamma,made_FT | 300-599,16571,0.11178941936137371,7.865541818896257e-181,True,True
gamma,made_FT | 35-119,8641,0.049214062254323676,1.2560186541091807e-18,True,False
gamma,made_FT | 600+,23057,0.09792581720063681,6.52119098181849e-193,True,True
gamma,other | 0-34,422,0.05564636527258093,0.14111148639555426,True,True
gamma,other | 120-299,548,0.2234223259617616,1.6380775313045017e-24,True,True
gamma,other | 300-599,830,0.21170277575711444,4.049293517891761e-33,True,True
gamma,other | 35-119,352,0.2387661021164723,3.837485192510131e-18,True,True
gamma,other | 600+,1365,0.24839802210591594,1.1159118293954692e-74,True,True
gamma,period_start | 300-599,356,0.09198535658754772,0.004514905815568771,True,True
gamma,period_start | 600+,10637,0.04680916868516144,1.0816076778944434e-20,True,False
