arm,cell,n,ks_D,ks_p,powered,leak_sized
hazard,DREB | 0-34,6552,0.06606191171663278,2.642857509814595e-25,True,True
hazard,DREB | 120-299,39095,0.026865884309502763,6.022365755479365e-25,True,False
hazard,DREB | 300-599,64535,0.048029669852420465,8.168994873559115e-130,True,False
hazard,DREB | 35-119,19776,0.03951910684378457,2.8436843956287784e-27,True,False
hazard,DREB | 600+,125715,0.06415306561609369,0.0,True,True
hazard,TOV | 0-34,2984,0.04158991300855619,6.373543136590495e-05,True,False
hazard,TOV | 120-299,18055,0.06519309990143926,3.6946099292887606e-67,True,True
hazard,TOV | 300-599,30745,0.056909045116175616,5.441226034639252e-87,True,True
hazard,TOV | 35-119,9196,0.09007109155314935,2.2790953202901098e-65,True,True
hazard,TOV | 600+,63019,0.0498430615516014,1.6810055121819342e-136,True,False
hazard,made_FG | 0-34,5322,0.13144705748111685,1.2169314534121572e-80,True,True
hazard,made_FG | 120-299,40350,0.12137946791480911,0.0,True,True
hazard,made_FG | 300-599,67288,0.12714802237483888,0.0,True,True
hazard,made_FG | 35-119,19323,0.06625833002894269,3.366552373122157e-74,True,True
hazard,made_FG | 600+,137113,0.130270350221474,0.0,True,True
hazard,made_FT | 0-34,4977,0.11460325555812056,2.1180394515739313e-57,True,True
hazard,made_FT | 120-299,12683,0.11573472418935207,1.8590640052963403e-148,True,True
hazard,made_FT | 300-599,16571,0.13555648568830064,4.873314428791918e-266,True,True
hazard,made_FT | 35-119,8641,0.056840430668310626,1.0442050062656737e-24,True,True
hazard,made_FT | 600+,23057,0.136705497395891,0.0,True,True
hazard,other | 0-34,422,0.07382490167060174,0.01907844081308421,True,True
hazard,other | 120-299,548,0.3111356217975879,1.2698109512900923e-47,True,True
hazard,other | 300-599,830,0.28967554186056327,3.5952993962132523e-62,True,True
hazard,other | 35-119,352,0.3552843039734658,2.9155386375946746e-40,True,True
hazard,other | 600+,1365,0.3150617240009059,6.219119406394747e-121,True,True
hazard,period_start | 300-599,356,0.17598509699677378,4.0921646342244894e-10,True,True
hazard,period_start | 600+,10637,0.15373511122969008,5.444629498633059e-220,True,True
