arm,kind,sigma,m,c_EA,E_inv_A,var_dbar,sd_dbar,P_sd_produced,P_sd_needed,E_min_TR,n_test,n_games,P_sd_ratio,primary_abs_dev,E_min_gap_s,implied_poss_per_team_game_delta,crps_trunc,censored_loglik,pit_worst_D,pit_leak_cells
R  v3c_srfloor_P3_s1,none,0.0,0.0,1.0,1.0,0.5840470293440935,0.764229696716958,2.942990311770398,4.279450897596056,17.49650925060912,270530,1991,0.6877027876224955,0.3122972123775045,-0.15612816483464087,0.6065987197289076,4.927456865258879,-3.519192234062767,0.4306159724361601,20
A1 v5_glat_shared,b,0.04724784918385006,-0.0011161796262499203,1.0,1.0022348528215848,1.245640673980093,1.1160827361715138,4.297949548149347,4.279450897596056,17.504127030441648,270530,1991,1.004322669191901,0.004322669191900941,-0.1485103850021119,0.576750543820225,4.927769960047835,-3.5099408333802113,0.43066178373762465,20
B1 v5b_glat_pmean,b,0.04702809866171037,0.0011058210318678435,1.0022140895480318,0.9999999999999999,1.258104766878674,1.1216526944106513,4.319399032780954,4.279450897596056,17.527509275899707,270530,1991,1.0093348740623098,0.009334874062309817,-0.12512813954405289,0.48529568171065307,4.9275954160515925,-3.506979198406781,0.43066178373762465,20
B2 v5b_glat_joint,b,0.04637325388625852,0.008611458709572382,1.0097337659619032,0.9924921067277372,1.2577979039245248,1.1215158955291382,4.318872230715183,4.279450897596056,17.600886491876363,270530,1991,1.009211773674345,0.009211773674344892,-0.05175092356739697,0.19987349551374223,4.927662645009195,-3.509996990193206,0.4305950608662348,20
B3 v5b_glat_pmean_tempo,b3,0.0,0.0,1.0,1.0,1.2559379370872643,1.1206863687433983,4.315677786290589,4.279450897596056,17.526931375995638,270530,1991,1.0084653123873633,0.008465312387363255,-0.1257060394481222,0.4875530778426196,4.927628767251984,-3.50716207670144,0.42952595850873576,20
