arm,prev_end,n,E_min_TR,actual,gap,powered
R  v3c_srfloor_P3_s1,DREB,94904,14.472229953409695,14.506501306583495,-0.03427135317379992,True
R  v3c_srfloor_P3_s1,TOV,45869,14.90093050115872,14.881619394362206,0.01931110679651482,True
R  v3c_srfloor_P3_s1,made_FG,99695,21.52587795271068,21.786538943778524,-0.26066099106784435,True
R  v3c_srfloor_P3_s1,made_FT,24681,18.100072110585334,18.588144726712855,-0.4880726161275213,True
R  v3c_srfloor_P3_s1,other,1400,1.526375000941456,1.7571428571428571,-0.23076785620140106,True
R  v3c_srfloor_P3_s1,period_start,3981,20.467256381078982,20.84777694046722,-0.3805205593882377,True
A1 v5_glat_shared,DREB,94904,14.47884104362016,14.506501306583495,-0.02766026296333557,True
A1 v5_glat_shared,TOV,45869,14.908898038240494,14.881619394362206,0.027278643878288378,True
A1 v5_glat_shared,made_FG,99695,21.534535091811343,21.786538943778524,-0.25200385196718145,True
A1 v5_glat_shared,made_FT,24681,18.106915875011627,18.588144726712855,-0.4812288517012284,True
A1 v5_glat_shared,other,1400,1.5275273066677566,1.7571428571428571,-0.22961555047510052,True
A1 v5_glat_shared,period_start,3981,20.475886989944783,20.84777694046722,-0.3718899505224371,True
B1 v5b_glat_pmean,DREB,94904,14.499583664780877,14.506501306583495,-0.00691764180261778,True
B1 v5b_glat_pmean,TOV,45869,14.929321521811964,14.881619394362206,0.047702127449758436,True
B1 v5b_glat_pmean,made_FG,99695,21.56185465145155,21.786538943778524,-0.22468429232697318,True
B1 v5b_glat_pmean,made_FT,24681,18.13082748886276,18.588144726712855,-0.4573172378500949,True
B1 v5b_glat_pmean,other,1400,1.52884917234394,1.7571428571428571,-0.2282936847989172,True
B1 v5b_glat_pmean,period_start,3981,20.50216172630601,20.84777694046722,-0.3456152141612101,True
B2 v5b_glat_joint,DREB,94904,14.568355540530819,14.506501306583495,0.06185423394732403,True
B2 v5b_glat_joint,TOV,45869,14.994297345969537,14.881619394362206,0.1126779516073313,True
B2 v5b_glat_joint,made_FG,99695,21.644035235184777,21.786538943778524,-0.14250370859374684,True
B2 v5b_glat_joint,made_FT,24681,18.204421271731466,18.588144726712855,-0.38372345498138927,True
B2 v5b_glat_joint,other,1400,1.534119597229181,1.7571428571428571,-0.2230232599136761,True
B2 v5b_glat_joint,period_start,3981,20.58427577267687,20.84777694046722,-0.2635011677903485,True
B3 v5b_glat_pmean_tempo,DREB,94904,14.498907529553843,14.506501306583495,-0.00759377702965125,True
B3 v5b_glat_pmean_tempo,TOV,45869,14.928385018069651,14.881619394362206,0.046765623707445414,True
B3 v5b_glat_pmean_tempo,made_FG,99695,21.561508338921648,21.786538943778524,-0.22503060485687598,True
B3 v5b_glat_pmean_tempo,made_FT,24681,18.13028919237109,18.588144726712855,-0.45785553434176407,True
B3 v5b_glat_pmean_tempo,other,1400,1.5287148482787143,1.7571428571428571,-0.22842800886414283,True
B3 v5b_glat_pmean_tempo,period_start,3981,20.50185641200465,20.84777694046722,-0.34592052846257104,True
