arm,tempo_quintile,n_games,P_sd_produced,P_sd_needed,ratio
R  v3c_srfloor_P3_s1,Q1,399,2.704843593056681,3.80497115745327,0.7108709845956039
R  v3c_srfloor_P3_s1,Q2,398,2.8700157480570385,3.6174622255928415,0.7933782218241936
R  v3c_srfloor_P3_s1,Q3,398,2.920659322361059,3.9885757377459847,0.732256202313354
R  v3c_srfloor_P3_s1,Q4,398,3.023189760634496,4.41993929425143,0.6839889779858414
R  v3c_srfloor_P3_s1,Q5,398,3.1746187161242414,5.0344320353172956,0.6305813036810936
A1 v5_glat_shared,Q1,399,3.9392265639590893,3.80497115745327,1.0352842113514675
A1 v5_glat_shared,Q2,398,4.225603570406785,3.6174622255928415,1.1681127008076164
A1 v5_glat_shared,Q3,398,4.255905243402977,3.9885757377459847,1.0670238007836013
A1 v5_glat_shared,Q4,398,4.40671900771012,4.41993929425143,0.9970089438652464
A1 v5_glat_shared,Q5,398,4.628102308529873,5.0344320353172956,0.9192898575376609
A2 v5_glat_team,Q1,399,3.9537104153132674,3.80497115745327,1.039090771442155
A2 v5_glat_team,Q2,398,4.241171671865926,3.6174622255928415,1.1724162983266173
A2 v5_glat_team,Q3,398,4.267702067942119,3.9885757377459847,1.0699814541703736
A2 v5_glat_team,Q4,398,4.417096839084847,4.41993929425143,0.9993569017632709
A2 v5_glat_team,Q5,398,4.635565934617357,5.0344320353172956,0.9207723735464433
A3 v5_glat_biv,Q1,399,3.9728704615638906,3.80497115745327,1.0441263013996138
A3 v5_glat_biv,Q2,398,4.26211000899266,3.6174622255928415,1.178204427081245
A3 v5_glat_biv,Q3,398,4.290144999328889,3.9885757377459847,1.075608257536392
A3 v5_glat_biv,Q4,398,4.441334802225849,4.41993929425143,1.0048406791473914
A3 v5_glat_biv,Q5,398,4.66291218353737,5.0344320353172956,0.9262042174422739
A4 v5_ar1,Q1,399,2.8047110400198605,3.80497115745327,0.7371175559441296
A4 v5_ar1,Q2,398,2.9760496036817377,3.6174622255928415,0.8226898908927827
A4 v5_ar1,Q3,398,3.0286016484675833,3.9885757377459847,0.7593190771849553
A4 v5_ar1,Q4,398,3.134964741325695,4.41993929425143,0.7092777824806391
A4 v5_ar1,Q5,398,3.292054606514251,5.0344320353172956,0.6539078456954021
A5 v5_gamma_P3_s1,Q1,399,3.142178269146754,3.80497115745327,0.8258086958141007
A5 v5_gamma_P3_s1,Q2,398,3.2571989092973133,3.6174622255928415,0.9004099299927072
A5 v5_gamma_P3_s1,Q3,398,3.343913589823395,3.9885757377459847,0.8383728452685971
A5 v5_gamma_P3_s1,Q4,398,3.422879225809651,4.41993929425143,0.7744177007728241
A5 v5_gamma_P3_s1,Q5,398,3.555799945884793,5.0344320353172956,0.7062961464054581
A6 v5_glat_tempo,Q1,399,3.821342135978406,3.80497115745327,1.0043025236848557
A6 v5_glat_tempo,Q2,398,4.186940066499086,3.6174622255928415,1.1574246821092697
A6 v5_glat_tempo,Q3,398,4.270226469210582,3.9885757377459847,1.070614362114072
A6 v5_glat_tempo,Q4,398,4.471632179546086,4.41993929425143,1.0116953835456266
A6 v5_glat_tempo,Q5,398,4.82278853552436,5.0344320353172956,0.9579607990914915
