arm,kind,param,var_dbar,sd_dbar,P_sd_produced,P_sd_needed,E_min_TR,n_test,n_games,P_sd_ratio,primary_abs_dev,E_min_gap_s,implied_poss_per_team_game_delta,crps_trunc,censored_loglik,pit_worst_D,pit_leak_cells,implied_offence_latent_var_home,implied_offence_latent_var_away,implied_offence_corr
R  v3c_srfloor_P3_s1,none,{},0.5840470293440935,0.764229696716958,2.942990311770398,4.279450897596056,17.49650925060912,270530,1991,0.6877027876224955,0.3122972123775045,-0.15612816483464087,0.6065987197289076,4.927456865258879,-3.519192234062767,0.4306159724361601,20,,,
A1 v5_glat_shared,a1,"{""sigma"": 0.04724784918385006}",1.245640673980093,1.1160827361715138,4.297949548149347,4.279450897596056,17.504127030441648,270530,1991,1.004322669191901,0.004322669191900941,-0.1485103850021119,0.576750543820225,4.927769960047835,-3.5099408333802113,0.43066178373762465,20,,,
A2 v5_glat_team,a2,"{""sigma"": 0.06674103327183226}",1.2528138153446131,1.1192916578553658,4.310306860966915,4.279450897596056,17.51955952892835,270530,1991,1.0072102622764505,0.0072102622764504964,-0.13307788651540875,0.5163620984141204,4.9282496030911025,-3.5111149136699353,0.4327108313793551,20,1.3211870116575657,1.3309887691707223,0.0
A3 v5_glat_biv,a3,"{""sigma"": 0.07768017071669678, ""rho_t"": -0.26200016661256936}",1.2660253964434656,1.125177939902603,4.332974484473023,4.279450897596056,17.51593337867764,270530,1991,1.0125071155523793,0.012507115552379267,-0.13670403676611897,0.5305419137004179,4.928760040253636,-3.511063473726793,0.43271808631691117,21,1.82426835071751,1.837757238656763,-0.26200016661256936
A4 v5_ar1,a4,"{""rho"": 0.03682306336166719}",0.6280132723965496,0.7924728843288895,3.0517526745423496,4.279450897596056,17.49650925060912,270530,1991,0.7131178152450925,0.28688218475490745,-0.15612816483464087,0.6065987197289076,4.927456865258879,-3.519192234062767,0.4306159724361601,20,,,
A5 v5_gamma_P3_s1,none,{},0.7585437378141923,0.8709441645789885,3.353939593632714,4.279450897596056,17.489184268054974,270530,1991,0.7837312949464522,0.21626870505354778,-0.16345314738878614,0.6353241720816811,4.972162713552754,-3.571496321405379,0.4711819287765342,34,,,
A6 v5_glat_tempo,a6,"{""A6_beta0"": -0.0023350393024894013, ""A6_beta1"": 6.69707987160446e-05}",1.2528383768920102,1.1193026297172763,4.310349112770847,4.279450897596056,17.50441091178929,270530,1991,1.0072201354599368,0.007220135459936827,-0.14822650365447032,0.5756387349153158,4.927763379060918,-3.5098432507062864,0.42952595850873576,20,,,
